Unnamed: 0,posted_at,Asking,Year,Length,Beam,Draft,Location,Material,Hull,Type,Cabins,Is_Mono,Is_Diesel,Is_Cutter,Is_Ketch,Is_masthead_sloop,Is_Excellent,Is_Fair,Is_Good,Is_project_boat,Motor_Type,Engine_Count,Is_Inboard,Year_Listed,Asking_Price_Adj
66,2012-01-16,8000.0,1978,26.4,9.6,5.0,Florida,fiberglass,monohull,cruiser,1.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2012,9441.710149219927
67,2012-01-16,6500.0,1978,25.0,8.0,2.11,Washington,fiberglass,monohull,cruiser,1.0,1,0,0,0,1,1,0,0,0,outboard,2,0,2012,7671.389496241192
68,2012-01-15,94900.0,2000,36.0,12.0,4.5,Florida,fiberglass,monohull,cruiser,3.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2012,112002.2866451214
69,2012-01-14,12500.0,1971,32.0,10.0,5.0,Florida,fiberglass,monohull,cruiser,1.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2012,14752.67210815614
74,2012-01-11,65000.0,1981,33.0,11.0,6.0,Outside United States,aluminum,monohull,cruiser,1.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2012,76713.89496241191
76,2012-01-09,19900.0,1977,27.0,9.4,3.1,Outside United States,fiberglass,monohull,cruiser,1.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2012,23486.25399618457
77,2021-03-02,144900.0,2005,43.0,5.9,5.6,Maryland,fiberglass,monohull,racer,2.0,1,1,0,0,0,1,0,0,0,inboard,1,1,2021,144900.0
79,2021-03-02,19000.0,2012,21.0,7.0,3.7,Maine,wood,monohull,cruiser,1.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2021,19000.0
80,2021-03-01,18000.0,1986,28.0,10.83,3.92,South Carolina,fiberglass,monohull,cruiser,0.0,1,1,0,0,0,1,0,0,0,inboard,1,1,2021,18000.0
82,2021-03-01,3750.0,1969,17.6,6.4,4.6,California,fiberglass,monohull,daysailer,1.0,1,0,0,0,0,0,0,1,0,outboard,1,0,2021,3750.0
83,2021-03-01,22500.0,1985,28.4,9.48,5.98,Outside United States,fiberglass,monohull,racer,2.0,1,1,0,0,0,1,0,0,0,inboard,1,1,2021,22500.0
84,2021-02-28,21000.0,1973,35.0,10.0,5.0,Washington,fiberglass,monohull,cruiser,1.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2021,21000.0
85,2021-02-28,99000.0,1990,42.0,13.1,4.11,Florida,fiberglass,monohull,cruiser,3.0,1,1,0,0,0,0,0,1,0,inboard,1,1,2021,99000.0
86,2021-02-27,48000.0,1986,34.0,10.5,6.0,Washington,fiberglass,monohull,racer,2.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2021,48000.0
88,2021-02-26,27000.0,1982,36.0,12.0,5.5,California,fiberglass,monohull,cruiser,2.0,1,1,1,0,0,0,0,1,0,inboard,1,1,2021,27000.0
89,2021-02-26,13500.0,1984,28.0,9.5,4.5,Massachusetts,fiberglass,monohull,cruiser,0.0,1,1,0,0,0,0,0,1,0,inboard,1,1,2021,13500.0
96,2022-05-02,49000.0,2005,33.0,11.0,6.0,New York,fiberglass,monohull,cruiser,1.0,1,1,1,0,0,0,0,1,0,inboard,1,1,2022,49000.0
98,2021-02-22,136500.0,2006,34.0,12.0,6.5,California,fiberglass,monohull,cruiser,3.0,1,1,0,0,0,1,0,0,0,inboard,1,1,2021,136500.0
101,2021-02-20,23000.0,2007,27.0,8.0,5.0,Florida,fiberglass,monohull,motorsailer,1.0,1,0,0,0,1,1,0,0,0,outboard,1,0,2021,23000.0
