Length,Year,Beam,Draft,Is_Mono,Is_Diesel,Engine_Count,Cabins,Is_Inboard,Year_Listed,Is_Fiberglass,Is_cruiser,Is_daysailer,Is_masthead_sloop,Is_Cutter,Is_Ketch,Is_Excellent,Is_Fair,Is_Good,Is_Project_boat
44.0,1992,13.2,5.7,1,1,1,2.0,1,2014,1,1,0,0,0,0,1,0,0,0
33.0,1985,11.0,4.0,1,1,1,2.0,1,2019,1,1,0,0,0,1,1,0,0,0
33.0,1976,10.0,4.0,1,1,1,1.0,1,2014,1,0,0,0,0,1,0,0,1,0
35.5,1988,11.0,4.6,1,1,1,2.0,1,2022,1,1,0,0,0,0,0,0,1,0
35.0,2008,13.0,4.9,1,1,1,2.0,1,2019,1,1,0,0,0,0,1,0,0,0
24.0,1984,8.0,4.75,1,0,1,2.0,0,2020,1,0,0,1,0,0,0,0,1,0
23.0,1994,8.0,5.0,1,0,1,1.0,0,2017,1,1,0,0,0,0,1,0,0,0
31.0,1978,10.2,5.5,1,1,1,2.0,1,2018,1,1,0,1,0,0,0,0,1,0
20.0,1984,8.0,3.0,1,0,1,1.0,0,2014,1,0,1,0,0,0,0,0,1,0
30.0,1977,10.5,5.0,1,0,1,2.0,1,2018,1,1,0,1,0,0,0,0,1,0
26.0,1968,7.17,3.9,1,1,1,2.0,1,2018,1,1,0,1,0,0,0,0,1,0
28.0,1981,10.0,4.5,1,1,1,1.0,1,2018,1,1,0,1,0,0,0,0,1,0
30.0,1984,10.83,5.25,1,1,1,1.0,1,2017,1,0,1,0,0,0,1,0,0,0
25.0,1981,8.0,4.0,1,0,1,1.0,0,2017,1,1,0,1,0,0,1,0,0,0
30.0,1981,10.0,4.11,1,1,1,3.0,1,2012,1,1,0,1,0,0,1,0,0,0
35.0,1964,9.5,5.0,1,1,1,2.0,1,2013,1,1,0,1,0,0,0,0,1,0
26.0,1970,8.0,2.12,1,0,1,1.0,0,2013,1,0,1,0,0,0,0,0,1,0
26.0,1995,16.6,2.6,0,0,1,1.0,0,2020,1,1,0,0,0,0,0,0,1,0
27.0,1973,9.0,4.0,1,1,1,2.0,1,2016,1,0,0,1,0,0,0,1,0,0
30.0,1972,9.6,5.0,1,0,1,2.0,1,2011,1,1,0,1,0,0,0,0,1,0
37.0,1979,11.5,5.0,1,1,1,2.0,1,2016,1,1,0,1,0,0,0,0,0,1
27.0,1978,8.5,4.0,1,0,1,1.0,1,2017,1,0,0,1,0,0,1,0,0,0
46.0,1974,13.5,5.2,1,1,1,3.0,1,2020,1,1,0,0,0,1,0,0,1,0
22.6,1980,7.1,4.3,1,0,1,1.0,0,2012,1,0,0,0,0,0,0,0,1,0
27.17,1983,9.25,3.25,1,1,1,1.0,1,2015,1,0,1,1,0,0,0,0,1,0
42.0,1990,14.0,4.9,1,1,1,2.0,1,2021,1,1,0,0,0,0,0,0,1,0
38.0,1987,12.1,5.6,1,1,1,2.0,1,2011,0,0,0,0,0,0,1,0,0,0
25.0,1983,9.0,4.5,1,0,1,2.0,0,2015,1,0,0,1,0,0,0,0,1,0
38.0,1988,9.5,5.0,1,1,1,1.0,1,2012,0,1,0,0,0,1,0,0,1,0
37.5,1996,12.5,5.0,1,1,1,2.0,1,2022,1,1,0,0,0,0,0,0,1,0
39.0,1987,11.9,5.6,1,1,1,1.0,1,2018,1,1,0,0,1,0,1,0,0,0
30.0,1982,10.5,3.6,1,1,1,1.0,1,2015,1,1,0,1,0,0,0,0,1,0
37.5,1983,12.0,7.0,1,1,1,2.0,1,2022,1,0,0,1,0,0,1,0,0,0
30.0,1984,10.0,4.8,1,1,1,2.0,1,2022,1,1,0,1,0,0,0,0,1,0
27.0,1998,10.0,4.0,1,0,1,1.0,0,2012,1,1,0,1,0,0,0,0,1,0
39.0,1990,11.5,5.5,1,1,1,3.0,1,2017,0,1,0,0,1,0,0,0,1,0
15.0,2017,6.3,2.0,1,0,1,2.0,0,2019,0,1,0,0,0,0,1,0,0,0
27.0,1971,8.83,4.0,1,0,1,1.0,0,2021,1,1,0,1,0,0,1,0,0,0
38.0,1987,13.0,3.0,1,1,1,1.0,1,2015,1,1,0,0,0,1,0,1,0,0
27.0,1980,8.5,4.0,1,1,1,1.0,1,2013,1,1,0,0,0,0,0,0,1,0
24.0,1967,8.0,4.0,1,0,1,1.0,0,2012,1,0,1,0,0,0,0,0,1,0
34.0,2005,11.0,4.7,1,1,1,2.0,1,2021,1,1,0,0,0,0,0,0,1,0
37.0,1985,10.17,5.5,1,0,1,1.0,1,2020,1,1,0,1,0,0,1,0,0,0
29.0,1976,9.3,4.6,1,1,1,1.0,1,2014,1,0,0,1,0,0,0,0,0,1
28.0,1979,8.0,2.83,1,0,2,1.0,0,2015,1,1,0,0,0,0,0,0,1,0
30.0,1977,9.0,4.1,1,1,1,2.0,1,2011,1,1,0,0,0,1,0,0,1,0
32.0,1982,11.0,3.9,1,1,1,2.0,1,2022,1,1,0,0,1,0,0,0,1,0
42.0,2004,14.0,4.1,1,1,1,3.0,1,2017,1,1,0,1,0,0,0,0,1,0
25.0,1984,8.0,4.0,1,0,1,2.0,0,2015,1,1,0,1,0,0,0,0,1,0
38.0,1997,12.4,7.0,1,1,1,1.0,1,2010,1,1,0,0,0,1,0,0,1,0
32.0,2003,11.7,4.5,1,1,1,3.0,1,2013,1,1,0,1,0,0,1,0,0,0
19.0,1969,7.0,3.25,1,0,1,0.0,0,2021,1,0,1,0,0,0,0,1,0,0
44.0,1989,13.0,5.9,1,1,1,2.0,1,2020,1,1,0,1,0,0,1,0,0,0
38.0,1976,12.4,6.0,1,1,1,1.0,1,2014,1,1,0,0,1,0,0,0,1,0
33.0,1976,11.5,4.5,1,1,1,3.0,1,2017,1,1,0,1,0,0,0,0,1,0
27.0,1976,9.3,4.3,1,1,1,2.0,1,2011,1,1,0,1,0,0,0,0,1,0
34.0,1974,11.0,5.833,1,1,1,2.0,1,2018,1,0,0,1,0,0,0,0,1,0
37.0,1977,11.6,5.8,1,1,1,1.0,1,2014,1,1,0,0,1,0,0,0,1,0
36.0,1968,18.0,3.0,0,1,1,2.0,1,2020,1,0,0,0,0,0,0,0,1,0
22.0,1979,7.1,3.5,1,0,1,2.0,0,2011,1,0,1,1,0,0,0,0,1,0
26.5,1987,10.5,3.7,1,1,1,1.0,1,2022,1,1,0,1,0,0,0,0,1,0
27.0,1976,9.0,4.0,1,0,1,3.0,0,2012,1,1,0,1,0,0,0,1,0,0
39.0,1972,10.0,4.9,1,1,1,2.0,1,2017,1,1,0,0,0,1,1,0,0,0
28.5,1980,9.5,4.6,1,1,1,2.0,1,2016,1,1,0,1,0,0,0,0,1,0
40.0,1972,10.5,5.5,1,1,1,2.0,1,2017,1,1,0,0,0,0,1,0,0,0
30.0,1968,9.5,4.5,1,1,1,1.0,1,2022,1,1,0,1,0,0,0,0,1,0
42.0,1999,13.2,5.7,1,1,1,3.0,1,2016,1,1,0,0,0,0,1,0,0,0
28.6,1987,10.3,4.6,1,1,1,3.0,1,2016,1,0,0,0,0,0,1,0,0,0
29.0,1978,9.3,4.6,1,0,1,1.0,1,2014,1,0,0,1,0,0,1,0,0,0
28.0,1999,9.8,3.6,1,0,1,1.0,1,2018,1,1,0,0,0,0,0,0,1,0
23.0,2003,10.6,2.3,1,1,1,1.0,1,2019,1,1,0,0,0,0,1,0,0,0
30.0,1979,10.0,5.0,1,1,1,1.0,1,2022,1,1,0,1,0,0,1,0,0,0
27.0,1978,9.25,4.25,1,1,1,1.0,1,2017,1,1,0,1,0,0,1,0,0,0
25.0,1981,8.0,4.0,1,0,1,1.0,0,2013,1,1,0,0,0,0,1,0,0,0
30.0,1974,11.5,5.9,1,0,1,2.0,1,2016,1,0,0,0,0,0,0,0,1,0
30.0,1982,10.25,4.83,1,1,1,2.0,1,2019,1,1,0,1,0,0,0,0,1,0
28.2,1983,10.2,4.7,1,1,1,2.0,1,2018,1,0,0,1,0,0,1,0,0,0
24.0,1975,8.0,4.0,1,0,0,1.0,0,2022,1,0,1,1,0,0,0,0,1,0
28.0,1985,9.0,5.0,1,1,1,1.0,1,2021,1,0,0,0,0,0,0,0,1,0
30.0,1990,10.0,4.5,1,1,1,2.0,1,2018,1,0,0,1,0,0,0,0,1,0
30.6,1988,10.6,4.6,1,1,1,2.0,1,2018,1,1,0,1,0,0,0,0,1,0
34.0,2009,14.0,2.0,0,1,1,3.0,1,2020,1,1,0,0,0,0,1,0,0,0
38.6,1982,12.6,7.0,1,1,1,4.0,1,2022,1,1,0,1,0,0,0,0,1,0
36.0,1990,18.0,2.1,0,0,2,3.0,0,2017,1,1,0,0,0,0,0,0,1,0
19.0,2005,7.0,4.5,1,0,1,1.0,0,2014,1,0,1,0,0,0,1,0,0,0
32.0,1984,8.0,6.0,1,0,1,1.0,1,2017,1,0,0,1,0,0,0,1,0,0
40.0,1976,12.5,6.0,1,1,1,2.0,1,2014,1,1,0,0,1,0,0,0,1,0
35.5,1984,12.2,4.11,1,1,1,0.0,1,2019,1,1,0,1,0,0,0,0,1,0
42.0,1980,13.0,6.0,1,1,1,2.0,1,2019,1,1,0,0,0,1,0,0,1,0
42.0,1978,13.5,4.7,1,1,1,2.0,1,2013,1,1,0,0,1,0,0,0,1,0
23.0,1979,8.0,3.2,1,0,1,1.0,0,2019,1,1,0,1,0,0,1,0,0,0
28.0,1981,8.0,5.5,1,1,1,1.0,1,2022,1,1,0,0,0,0,0,0,1,0
36.0,1980,11.0,4.11,1,1,1,1.0,1,2021,1,0,1,1,0,0,0,0,1,0
34.5,1989,11.75,5.58,1,1,1,2.0,1,2022,1,1,0,1,0,0,1,0,0,0
37.0,2007,12.0,5.0,1,1,1,2.0,1,2019,1,1,0,0,0,0,0,0,1,0
44.0,1986,12.5,5.5,1,0,1,1.0,1,2022,1,1,0,0,0,1,0,0,1,0
36.0,1980,11.5,5.0,1,1,1,1.0,1,2020,1,1,0,1,0,0,0,0,1,0
17.0,2005,8.0,4.5,1,0,1,0.0,0,2019,1,0,0,0,0,0,1,0,0,0
30.0,1982,9.0,5.0,1,1,1,1.0,1,2016,1,1,0,1,0,0,0,1,0,0
23.0,2001,18.0,4.0,0,0,1,2.0,0,2020,1,0,1,0,0,0,0,0,1,0
33.0,1988,11.8,3.8,1,0,1,2.0,1,2016,1,1,0,0,0,0,0,1,0,0
24.0,1974,8.12,2.3,1,0,1,1.0,0,2011,1,0,1,1,0,0,0,0,1,0
30.0,1986,11.0,4.5,1,1,1,1.0,1,2018,1,1,0,1,0,0,1,0,0,0
19.0,1983,7.0,2.0,1,0,1,1.0,0,2011,1,1,0,0,0,0,0,0,1,0
37.0,1958,9.0,7.0,1,1,1,1.0,1,2020,0,1,0,1,0,0,0,0,1,0
26.0,1984,9.0,5.0,1,1,1,1.0,1,2021,1,1,0,0,1,0,1,0,0,0
30.0,1980,10.0,5.0,1,1,1,2.0,1,2016,1,1,0,1,0,0,0,0,1,0
36.0,1983,12.0,4.3,1,1,1,1.0,1,2016,0,1,0,0,1,0,0,0,1,0
37.0,1984,12.0,5.0,1,1,1,3.0,1,2017,1,1,0,0,0,0,0,0,0,1
42.0,1986,13.4,6.1,1,1,1,2.0,1,2019,1,0,0,1,0,0,1,0,0,0
31.0,1982,10.0,4.0,1,1,1,1.0,1,2017,0,1,0,0,0,1,0,1,0,0
38.0,1976,10.6,5.5,1,1,1,2.0,1,2016,1,1,0,0,1,0,1,0,0,0
37.5,1984,12.0,6.5,1,1,1,2.0,1,2022,1,1,0,1,0,0,0,0,1,0
40.0,1975,10.0,5.6,1,1,1,2.0,1,2013,0,1,0,0,0,0,1,0,0,0
34.0,1996,10.0,4.11,1,1,1,2.0,1,2019,1,1,0,1,0,0,1,0,0,0
32.0,2001,12.0,4.5,1,1,1,2.0,1,2022,1,1,0,1,0,0,1,0,0,0
42.0,1981,12.0,6.0,1,1,1,2.0,1,2016,1,1,0,1,0,0,0,0,1,0
39.0,2002,12.1,7.1,1,0,1,2.0,1,2019,1,1,0,0,0,0,1,0,0,0
37.0,2004,13.0,6.0,1,1,1,3.0,1,2015,0,1,0,1,0,0,0,0,1,0
30.0,1969,10.0,5.0,1,1,1,1.0,1,2016,1,0,0,0,0,0,1,0,0,0
41.0,1977,13.0,4.9,1,0,1,2.0,1,2012,1,1,0,0,0,1,0,0,1,0
30.0,1976,10.0,5.0,1,0,1,1.0,1,2018,1,0,1,1,0,0,0,0,1,0
27.0,1973,8.83,4.0,1,0,1,2.0,0,2019,1,0,0,1,0,0,0,0,1,0
21.0,1975,7.0,3.0,1,1,1,1.0,1,2020,0,1,0,0,0,0,1,0,0,0
30.0,1986,11.0,5.3,1,1,1,2.0,1,2015,1,0,0,1,0,0,1,0,0,0
30.0,1980,10.75,5.25,1,1,1,2.0,1,2018,1,1,0,1,0,0,1,0,0,0
30.0,1996,9.5,4.5,1,1,1,1.0,1,2014,0,1,0,0,1,0,1,0,0,0
42.0,1990,12.0,4.0,1,1,1,2.0,1,2022,0,1,0,0,0,0,0,1,0,0
37.5,1981,11.7,4.6,1,0,1,2.0,1,2016,1,1,0,0,1,0,0,0,1,0
37.0,1988,11.0,4.6,1,1,1,1.0,1,2022,1,1,0,0,1,0,1,0,0,0
36.0,2002,12.6,5.0,1,1,1,2.0,1,2013,1,1,0,1,0,0,1,0,0,0
32.3,1982,10.5,4.5,1,1,1,2.0,1,2017,1,1,0,1,0,0,0,0,1,0
