Model,posted_at,Asking,Engine: ,Year,Length,Beam,Draft,Location,Material,Hull,Type,Rigging,Cabins,Condition
Dufour Arpege,01-Feb-2012,"$40,000",1 diesel inboard,1970,30',',',Outside United States,fiberglass,monohull,cruiser,masthead sloop,,excellent
Turner Y-Flyer,01-Feb-2012,"$7,000",,1989,"18'2""'","5'9""'",4',South Carolina,fiberglass,monohull,dinghy,scow,0.0,excellent
S-2 S-2,01-Feb-2012,"$16,000",1 diesel inboard,1987,27',',4 -9'',Texas,fiberglass,monohull,,masthead sloop,1.0,excellent
Buhlers Yachts Lock Crowler Design,29-Jan-2012,"$80,000",1 diesel inboard,1982,41',27',3',Outside United States,composite,trimaran,,masthead sloop,3.0,excellent
Hunter H34 DK,28-Jan-2012,"$31,900",1 diesel inboard,1986,34.5',12',5.5',Illinois,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Ranger Ranger 33,27-Jan-2012,"$25,000",1 gas inboard,1976,33',11',5',California,fiberglass,monohull,,masthead sloop,1.0,good
Morgan 30/2 Cruise,27-Jan-2012,"$19,900",1 gas inboard,1974,30',11',5'3',Washington,fiberglass,monohull,cruiser,other,1.0,good
Macgregor ,27-Jan-2012,"$25,000", gas outboard,2005,26',',',Outside United States,fiberglass,monohull,motorsailer,,,excellent
Bruce Roberts ketch,27-Jan-2012,"$20,000",1 diesel inboard,1995,35',10.5',5',New Jersey,fiberglass,monohull,cruiser,ketch,2.0,
beneteau Idylle,27-Jan-2012,"$100,000",1 Diesel intrieur,1984,43',14',6',En dehors des tatsUnis,en fibre de verre,monocoque,croiseur,sloop de mt,2.0,bonne
S2 8.5,26-Jan-2012,"$14,000",1 diesel inboard,1980,28',9',4.5',Alabama,fiberglass,monohull,cruiser,masthead sloop,2.0,good
O'Day ,26-Jan-2012,"$3,200",1 gas outboard,1876,25',8',',New York,fiberglass,monohull,cruiser,fractional sloop,1.0,
Westerly Cirrus,26-Jan-2012,"$3,500",1 gas outboard,1968,22',8',3.5',New Jersey,fiberglass,monohull,motorsailer,fractional sloop,1.0,fair
Beneteau oceanis 343,25-Jan-2012,"$124,900",1 diesel inboard,2006,34',11.5',4.5',New York,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
Herrshoffe H-28,24-Jan-2012,"$15,000",0 gas inboard,1961,28',',3.5',Outside United States,wood,monohull,daysailer,ketch,1.0,good
Ericson 27,24-Jan-2012,"$3,850",1 gas inboard,1973,27',9',3'9',Massachusetts,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Joubert Nivelt design one off,24-Jan-2012,"$350,000",2 diesel inboard,1997,54',15',4',Outside United States,steel,monohull,,,3.0,excellent
Catalina 25,24-Jan-2012,"$9,500",1 gas outboard,1981,25',8',2'8',Kansas,fiberglass,monohull,cruiser,fractional sloop,,
crystler c-22,22-Jan-2012,"$4,000",1 gas outboard,1975,22',8',',New York,fiberglass,monohull,daysailer,,1.0,excellent
Catalina 42 MKII,22-Jan-2012,"$115,000",1 diesel inboard,1997,42',16',6',California,fiberglass,monohull,cruiser,,3.0,excellent
Hunter 466,21-Jan-2012,"$175,000",1 diesel inboard,2005,46',14',6',Louisiana,fiberglass,monohull,cruiser,,3.0,excellent
richardsons boat works 40 center spray,21-Jan-2012,"$85,000",1 diesel inboard,1976,40',14.6',4.2',Maryland,steel,monohull,motorsailer,ketch,2.0,excellent
Halmatic Mk II Halmatic 30,20-Jan-2012,"$50,000",1 diesel inboard,1984,29'6',9'6',4'6',Outside United States,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Professional Marine Industries KSS46,19-Jan-2012,"$250,000",2 diesel inboard,2006,46',21',3',Outside United States,composite,catamaran,cruiser,cat boat,4.0,excellent
Hunter 26,18-Jan-2012,"$11,700",1 gas outboard,94,26',8 11',4',Minnesota,fiberglass,monohull,daysailer,fractional sloop,1.0,good
Cal Cal 2-27,17-Jan-2012,"$5,500",1 gas outboard,1977,27',9'3',4'3',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Westerly Warwick,16-Jan-2012,"$7,000",1 gas outboard,1973,21.5',7.9',2'10',Florida,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
amf paceship py26'4,16-Jan-2012,"$8,000",1 diesel inboard,1978,26'4',9'6',5'',Florida,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Hunter Cherubini,16-Jan-2012,"$6,500",2 gas outboard,1978,25',8',2' 11',Washington,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Catalina 36 MKII,15-Jan-2012,"$94,900",1 diesel inboard,2000,36',12',4.5',Florida,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
Irwin Irwin 32 fixed keel,14-Jan-2012,"$12,500",1 diesel inboard,1971,32',10',5',Florida,fiberglass,monohull,cruiser,masthead sloop,1.0,good
formosa 41ft,13-Jan-2012,"$60,000",1 diesel inboard,1971,41',12',8',Florida,fiberglass,monohull,motorsailer,,,excellent
Catalina Capri 25 - 1981,13-Jan-2012,"$4,500",1 gas outboard,1981,"24'6""'",',',Texas,fiberglass,monohull,cruiser,masthead sloop,,fair
J Boats J 29,12-Jan-2012,"$19,200",0 gas outboard,,29',11',6',Ohio,fiberglass,monohull,,masthead sloop,2.0,good
Lagoon 440 owner version,11-Jan-2012,"$540,000",2 diesel inboard,2008,44.8',25.3',4.3',,fiberglass,catamaran,cruiser,masthead sloop,3.0,excellent
CN TODINI Bauxite 999,11-Jan-2012,"$65,000",1 diesel inboard,1981,33',11',6',Outside United States,aluminum,monohull,cruiser,masthead sloop,1.0,good
Northshore Southerly 110,11-Jan-2012,"$309,999",1 gas inboard,2010,36.5',11.75',',Outside United States,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
CS CS 27,09-Jan-2012,"$19,900",1 diesel inboard,1977,27',9' 4',3' 10',Outside United States,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Beneteau 423,02-Mar-2021,"$144,900",1 diesel inboard,2005,43',5.9',5.6',Maryland,fiberglass,monohull,racer/cruiser,fractional sloop,2.0,excellent
