,posted_at,Asking,Year,Length,Beam,Draft,Location,Material,Type,Cabins,Is_Mono,Is_cruiser,Is_daysailer,Is_Diesel,Motor_Type,Engine_Count,Is_Fiberglass,Is_masthead_sloop,Is_Cutter,Is_Ketch,Is_Excellent,Is_Fair,Is_Good,Is_Project_boat,Is_Inboard,Year_Listed,Asking_Price_Adj
46,2015-12-19,22000.0,1972,30.0,9.0,5.0,Outside United States,fiberglass,cruiser,0.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2015,25151.529215203976
47,2015-12-18,1000.0,1970,19.0,6.75,4.0,Indiana,fiberglass,daysailer,1.0,1,0,1,0,motorless,0,1,0,0,0,0,1,0,0,0,2015,1143.251327963817
52,2015-12-13,1200.0,1974,22.7,7.9,11.0,Maine,fiberglass,cruiser,1.0,1,1,0,0,motorless,0,1,1,0,0,0,0,0,0,0,2015,1371.9015935565806
53,2015-12-13,10000.0,1988,24.0,8.9,4.0,Maryland,fiberglass,racer,1.0,1,0,0,0,outboard,1,1,0,0,0,1,0,0,0,0,2015,11432.513279638171
54,2015-12-11,120000.0,1985,48.0,13.5,6.6,New York,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,0,0,1,1,0,0,0,1,2015,137190.15935565805
57,2015-12-07,19950.0,2015,27.0,9.3,4.3,California,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2015,22807.863992878152
59,2015-12-06,75000.0,1981,44.0,13.4,4.11,Outside United States,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,0,0,1,0,0,0,0,1,2015,85743.84959728629
60,2015-12-06,144950.0,2004,42.0,13.1,5.0,Outside United States,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,0,1,0,0,0,1,2015,165714.2799883553
61,2015-12-05,6000.0,1984,25.0,8.0,4.0,New York,fiberglass,cruiser,2.0,1,1,0,0,outboard,1,1,1,0,0,0,0,1,0,0,2015,6859.507967782903
63,2015-12-04,900.0,1978,23.0,7.17,3.25,North Carolina,fiberglass,cruiser,2.0,1,1,0,0,motorless,0,1,1,0,0,0,0,0,1,0,2015,1028.9261951674355
65,2015-12-02,4500.0,1985,26.0,8.0,2.5,Virginia,fiberglass,racer,1.0,1,0,0,0,outboard,1,1,0,0,0,0,1,0,0,0,2015,5144.630975837177
66,2015-12-02,225000.0,1981,48.0,13.0,10.0,Connecticut,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,1,0,1,0,0,0,1,2015,257231.54879185883
67,2015-12-02,25000.0,1986,30.0,10.0,4.0,Michigan,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,0,0,1,2015,28581.28319909543
69,2015-12-01,12000.0,1972,31.0,10.0,4.5,Florida,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2015,13719.015935565805
70,2015-12-01,4500.0,1983,25.5,7.92,5.67,Georgia,fiberglass,daysailer,1.0,1,0,1,0,outboard,1,1,0,0,0,1,0,0,0,0,2015,5144.630975837177
75,2021-06-21,5300.0,1982,25.0,8.0,4.0,Maryland,fiberglass,racer,1.0,1,0,0,0,inboard,1,1,0,0,0,0,0,1,0,1,2021,5300.0
76,2021-06-21,18500.0,1979,30.0,10.0,5.0,Rhode Island,fiberglass,racer,2.0,1,0,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2021,18500.0
77,2021-06-21,37000.0,2016,19.0,24.0,2.0,Idaho,other,daysailer,0.0,1,0,1,0,motorless,0,0,1,0,0,1,0,0,0,0,2021,37000.0
