,posted_at,Asking,Year,Length,Beam,Draft,Location,Material,Type,Cabins,Is_Mono,Is_cruiser,Is_daysailer,Is_Diesel,Motor_Type,Engine_Count,Is_Fiberglass,Is_masthead_sloop,Is_Cutter,Is_Ketch,Is_Excellent,Is_Fair,Is_Good,Is_Project_boat,Is_Inboard,Year_Listed,Asking_Price_Adj
1506,2019-08-05,74900.0,1988,36.9,12.0,4.9,Florida,fiberglass,motorsailer,1.0,1,0,0,1,inboard,1,1,0,1,0,0,0,1,0,1,2019,79386.25971516526
1508,2019-08-05,32500.0,1985,27.0,10.6,3.8,Maryland,fiberglass,cruiser,2.0,1,1,0,0,inboard,1,1,1,0,0,0,0,1,0,1,2019,34446.641398436186
1509,2019-08-05,192000.0,2005,47.0,14.2,5.7,North Carolina,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2019,203500.15841537688
1511,2019-08-04,13000.0,2001,23.0,18.0,4.0,Wisconsin,fiberglass,cruiser,2.0,0,1,0,0,outboard,1,1,0,0,0,0,0,1,0,0,2019,13778.656559374476
1512,2019-08-04,22000.0,1987,32.0,11.0,4.0,Outside United States,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,1,0,1,0,0,0,1,2019,23317.726485095267
1514,2019-08-03,22500.0,1989,30.0,10.9,3.1,Ohio,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2019,23847.674814301976
1517,2019-08-02,29900.0,1987,30.0,10.8,4.6,Florida,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2019,31690.910086561293
1519,2019-08-01,9900.0,1976,29.0,9.0,4.5,Michigan,fiberglass,racer,2.0,1,0,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2019,10492.97691829287
1520,2019-07-31,158500.0,1992,46.17,13.31,7.71,Hawaii,fiberglass,racer,3.0,1,0,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2019,167993.62035852726
1522,2019-07-31,4990.0,1960,33.0,8.5,1.3,Oregon,wood,cruiser,1.0,1,1,0,0,motorless,0,0,0,0,1,0,1,0,0,0,2019,5288.884325482972
1523,2019-07-31,75000.0,2009,31.0,11.3,5.11,Alabama,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,0,1,0,0,0,1,2019,79492.2493810066
1525,2019-07-31,2700.0,2007,14.0,4.5,1.0,New York,fiberglass,daysailer,0.0,1,0,1,0,motorless,0,1,0,0,0,1,0,0,0,0,2019,2861.7209777162375
1526,2019-07-31,4995.0,1994,20.0,8.5,3.18,Texas,fiberglass,daysailer,0.0,0,0,1,0,motorless,0,1,0,0,0,0,0,1,0,0,2019,5294.183808775038
1527,2019-07-31,84900.0,1997,40.0,12.9,5.6,Florida,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2019,89985.22629929947
1528,2019-07-31,4600.0,1977,25.0,8.0,6.4,Michigan,fiberglass,cruiser,2.0,1,1,0,0,outboard,1,1,1,0,0,0,0,1,0,0,2019,4875.524628701738
1530,2019-07-30,56000.0,1994,32.0,11.7,6.0,California,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,0,0,1,2019,59354.21287115158
1531,2019-07-30,84000.0,2002,36.42,12.5,4.5,California,fiberglass,cruiser,2.0,1,1,0,1,inboard,2,1,1,0,0,1,0,0,0,1,2019,89031.31930672738
1533,2019-07-30,36200.0,1977,32.0,10.6,4.6,Minnesota,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,1,1,0,0,0,1,2019,38368.25903456585
1534,2019-07-30,12150.0,1982,30.0,10.8,5.25,Connecticut,fiberglass,racer,4.0,1,0,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2019,12877.744399723068
1537,2019-07-30,5000.0,1980,27.0,9.25,4.25,Alabama,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,0,0,0,1,0,0,1,2019,5299.483292067106
1538,2019-07-30,3500.0,1978,20.0,7.9,2.8,Virginia,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,0,0,0,0,0,1,0,0,2019,3709.638304446974
1540,2019-07-30,6750.0,77,25.0,7.0,3.0,New York,fiberglass,cruiser,1.0,1,1,0,0,inboard,1,1,1,0,0,1,0,0,0,1,2019,7154.3024442905935
1541,2019-07-30,1150000.0,2020,57.0,17.06,9.02,Outside United States,aluminum,racer,3.0,1,0,0,0,inboard,1,0,0,0,0,0,0,0,0,1,2019,1218881.1571754345
1542,2019-07-29,38000.0,2003,23.0,10.6,2.3,Florida,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,0,0,1,0,0,0,1,2019,40276.073019710006
1543,2019-07-29,395000.0,2017,47.0,13.5,5.5,Florida,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,0,0,1,1,0,0,0,1,2019,418659.18007330137
1547,2019-07-26,7500.0,1973,28.0,9.0,4.6,Maryland,fiberglass,cruiser,2.0,1,1,0,0,inboard,1,1,1,0,0,1,0,0,0,1,2019,7949.224938100659
1551,2019-07-25,31000.0,1980,34.0,10.96,4.46,Rhode Island,fiberglass,racer,1.0,1,0,0,1,inboard,1,1,0,0,0,1,0,0,0,1,2019,32856.79641081605
1553,2019-07-24,3800.0,1983,22.0,7.3,1.5,New York,fiberglass,cruiser,1.0,1,1,0,0,motorless,0,1,1,0,0,0,0,1,0,0,2019,4027.6073019710007
1554,2019-07-24,15900.0,1983,26.0,10.6,2.6,Florida,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,1,0,0,0,1,0,1,2019,16852.356868773393
1557,2019-07-24,110000.0,1985,44.7,13.0,7.0,Washington,fiberglass,racer,2.0,1,0,0,1,inboard,1,1,0,1,0,1,0,0,0,1,2019,116588.63242547633
1558,2019-07-24,125000.0,2002,39.0,12.1,7.1,California,fiberglass,cruiser,2.0,1,1,0,0,inboard,1,1,0,0,0,1,0,0,0,1,2019,132487.08230167764
1559,2013-04-26,11500.0,1988,24.0,8.3,2.5,Kentucky,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,1,0,0,1,0,0,0,0,2013,13376.52442296218
1561,2013-04-25,23000.0,1995,15.9,5.9,2.5,Massachusetts,fiberglass,daysailer,0.0,1,0,1,0,motorless,0,1,0,0,0,1,0,0,0,0,2013,26753.04884592436
1565,2013-04-25,7000.0,1977,27.0,9.8,4.0,Florida,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2013,8142.23225745524
1567,2013-04-24,17000.0,1993,26.0,8.0,7.0,Outside United States,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,1,0,0,1,0,0,0,0,2013,19773.992625248437
1569,2013-04-22,27500.0,2007,22.0,8.3,2.5,California,fiberglass,racer,1.0,1,0,0,0,outboard,1,1,1,0,0,1,0,0,0,0,2013,31987.341011431297
1571,2013-04-21,12000.0,2001,19.0,8.0,1.67,Michigan,fiberglass,daysailer,1.0,1,0,1,0,outboard,1,1,0,0,0,1,0,0,0,0,2013,13958.11244135184
1574,2013-04-21,4500.0,1978,20.0,7.0,4.0,Florida,fiberglass,daysailer,1.0,1,0,1,0,outboard,1,1,1,0,0,0,0,1,0,0,2013,5234.29216550694
1575,2013-04-21,750000.0,1999,58.0,16.0,3.1,Outside United States,steel,cruiser,3.0,1,1,0,1,inboard,1,0,0,0,1,1,0,0,0,1,2013,872382.02758449
1578,2013-04-19,12900.0,1976,30.0,9.6,5.2,Massachusetts,fiberglass,cruiser,2.0,1,1,0,0,inboard,1,1,0,0,0,1,0,0,0,1,2013,15004.970874453227
1581,2013-04-19,89794.0,2013,27.0,9.11,3.6,Maryland,fiberglass,daysailer,2.0,1,0,1,1,inboard,1,1,0,0,0,0,0,0,0,1,2013,104446.22904656226
1582,2013-04-19,155000.0,2009,36.0,12.0,6.5,Maryland,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2013,180292.2857007946
1583,2013-04-19,85000.0,2006,33.0,11.5,4.5,Maryland,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,0,1,0,0,0,1,2013,98869.9631262422
1584,2013-04-19,147990.0,2013,33.0,11.6,5.6,Maryland,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,0,0,0,0,0,1,2013,172138.42168297156
1586,2013-04-18,24800.0,1982,32.6,10.2,4.0,Wisconsin,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2013,28846.765712127137
1587,2013-04-17,12500.0,1979,27.0,10.4,3.9,Florida,fiberglass,daysailer,2.0,1,0,1,1,inboard,2,1,1,0,0,0,0,1,0,1,2013,14539.7004597415
1589,2013-04-16,22000.0,1983,30.3,10.9,4.5,Massachusetts,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2013,25589.87280914504
1590,2013-04-16,19000.0,2008,21.0,5.9,3.5,Outside United States,composite,daysailer,0.0,1,0,1,0,motorless,0,0,0,0,0,1,0,0,0,0,2013,22100.34469880708
1593,2013-04-15,48000.0,1972,35.0,10.6,3.8,Outside United States,fiberglass,motorsailer,1.0,1,0,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2013,55832.44976540736
1594,2013-04-15,82000.0,1995,41.0,13.4,6.3,Maryland,fiberglass,cruiser,0.0,1,1,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2013,95380.43501590424
1595,2013-04-14,5000.0,1978,20.0,7.3,2.5,Connecticut,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,1,0,0,0,0,1,0,0,2013,5815.8801838966
1598,2013-04-13,24500.0,1979,32.0,10.6,5.6,California,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2013,28497.81290109334
1599,2013-04-11,18000.0,2003,26.0,7.1,9.0,California,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,1,0,0,1,0,0,0,0,2013,20937.16866202776
1602,2013-04-11,4500.0,1978,23.0,7.35,34.0,Outside United States,fiberglass,racer,2.0,1,0,0,0,outboard,1,1,1,0,0,0,0,1,0,0,2013,5234.29216550694
1605,2013-04-09,5000.0,1980,27.0,8.5,4.0,Connecticut,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2013,5815.8801838966
1606,2013-04-08,2000.0,1970,22.0,8.0,2.0,New York,fiberglass,daysailer,1.0,1,0,1,0,outboard,1,1,1,0,0,1,0,0,0,0,2013,2326.35207355864
1610,2013-04-07,6000.0,2001,16.5,7.2,1.9,New York,fiberglass,cruiser,1.0,1,1,0,0,motorless,0,1,0,0,0,1,0,0,0,0,2013,6979.05622067592
1611,2013-04-07,17900.0,1984,30.0,10.0,5.0,New York,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2013,20820.85105834983
1612,2013-04-07,220000.0,2005,48.0,14.6,7.0,Outside United States,fiberglass,cruiser,4.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2013,255898.72809145038
1614,2013-04-06,2495.0,1977,22.0,7.75,3.75,Virginia,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,1,0,0,0,0,1,0,0,2013,2902.124211764403
1616,2013-04-05,69000.0,2006,29.1,10.4,5.16,California,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2013,80259.14653777308
1617,2013-04-03,12500.0,1970,30.0,8.5,4.3,Outside United States,fiberglass,cruiser,1.0,1,1,0,0,inboard,1,1,0,0,0,1,0,0,0,1,2013,14539.7004597415
1618,2013-04-02,4200.0,1973,28.5,9.5,4.0,Massachusetts,fiberglass,cruiser,2.0,1,1,0,0,inboard,1,1,1,0,0,0,0,1,0,1,2013,4885.339354473143
1619,2013-04-01,320000.0,2011,42.5,13.6,5.5,Florida,fiberglass,cruiser,2.0,1,1,0,0,motorless,0,1,0,0,0,1,0,0,0,0,2013,372216.3317693824
1624,2013-03-29,14900.0,1972,39.0,11.4,5.0,Florida,fiberglass,motorsailer,2.0,1,0,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2013,17331.322948011868
1626,2013-03-28,59000.0,2006,28.5,18.0,1.5,California,fiberglass,cruiser,1.0,0,1,0,0,outboard,1,1,0,0,0,0,0,1,0,0,2013,68627.38616997987
1627,2013-03-28,4600.0,1975,25.0,8.0,2.1,Florida,fiberglass,daysailer,2.0,1,0,1,0,outboard,1,1,1,0,0,0,0,1,0,0,2013,5350.609769184872
1628,2013-03-28,11000.0,1978,32.0,8.0,2.0,North Carolina,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,0,0,0,0,0,1,0,0,2013,12794.93640457252
1637,2020-01-29,6900.0,1982,27.0,8.0,4.0,Florida,fiberglass,cruiser,2.0,1,1,0,0,inboard,1,1,1,0,0,1,0,0,0,1,2020,7224.1635788277945
1639,2020-01-28,41000.0,1997,28.0,8.0,5.5,Outside United States,fiberglass,daysailer,1.0,1,0,1,0,inboard,1,1,0,0,0,1,0,0,0,1,2020,42926.18938144052
1640,2020-01-27,49900.0,1974,41.0,126.0,5.0,Florida,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,1,1,0,0,0,1,2020,52244.31341789956
1641,2020-01-27,45000.0,1973,36.0,11.5,6.0,Maine,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2020,47114.11029670301
1642,2020-01-27,6000.0,1976,23.0,8.0,3.8,Florida,fiberglass,racer,1.0,1,0,0,0,outboard,1,1,1,0,0,0,0,1,0,0,2020,6281.881372893735
1643,2020-01-26,70000.0,1979,40.0,13.0,6.0,Louisiana,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2020,73288.61601709358
1644,2020-01-26,25000.0,1990,30.0,11.2,3.0,Outside United States,composite,cruiser,1.0,1,1,0,1,inboard,1,0,0,0,0,1,0,0,0,1,2020,26174.50572039056
1645,2020-01-26,5500.0,1981,23.0,7.7,2.4,Outside United States,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,1,0,0,0,1,0,0,0,2020,5758.391258485924
1647,2020-01-24,589000.0,2016,44.0,24.0,4.0,Florida,fiberglass,cruiser,3.0,0,1,0,1,inboard,2,1,0,0,0,0,0,0,0,1,2020,616671.3547724016
1649,2020-01-23,5900.0,1971,31.0,8.0,3.5,California,fiberglass,cruiser,2.0,1,1,0,0,outboard,1,1,0,0,1,0,1,0,0,0,2020,6177.183350012172
1651,2020-01-22,19500.0,1973,37.0,11.5,4.5,Missouri,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,0,1,0,0,1,0,1,2020,20416.11446190464
1652,2020-01-21,5000.0,1971,27.0,9.0,4.0,Washington,fiberglass,daysailer,1.0,1,0,1,0,outboard,1,1,1,0,0,0,0,1,0,0,2020,5234.901144078112
1658,2020-01-20,12500.0,1971,30.0,10.0,5.0,California,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2020,13087.25286019528
1659,2020-01-18,10900.0,1971,35.0,11.0,5.5,Florida,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,1,0,0,1,2020,11412.084494090284
1660,2020-01-18,90000.0,1977,40.0,11.7,3.11,Massachusetts,fiberglass,racer,2.0,1,0,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2020,94228.22059340602
1661,2020-01-18,73000.0,2000,38.0,12.0,5.0,Outside United States,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2020,76429.55670354044
1664,2020-01-16,6439.0,1979,24.0,8.0,2.1,Illinois,fiberglass,cruiser,1.0,1,1,0,0,inboard,1,1,0,0,0,1,0,0,0,1,2020,6741.505693343793
1665,2020-01-15,479000.0,2015,43.0,25.11,3.11,Florida,fiberglass,cruiser,4.0,0,1,0,1,inboard,2,1,0,0,0,1,0,0,0,1,2020,501503.52960268315
1666,2020-01-15,21500.0,1987,30.0,10.1,3.1,New York,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2020,22510.074919535884
1667,2020-01-15,56000.0,1978,39.0,12.0,56.0,Outside United States,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2020,58630.89281367486
1669,2020-01-14,111000.0,1989,44.0,13.0,5.9,Outside United States,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2020,116214.8053985341
1671,2020-01-14,39000.0,1986,35.0,11.2,5.7,New York,fiberglass,racer,2.0,1,0,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2020,40832.22892380928
1672,2020-01-14,130000.0,2005,38.0,25.0,4.0,Outside United States,other,racer,2.0,0,0,0,1,inboard,1,0,1,0,0,1,0,0,0,1,2020,136107.4297460309
1675,2020-01-10,44900.0,1994,35.0,11.8,4.5,California,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2020,47009.41227382145
1677,2020-01-10,110000.0,1998,32.0,11.9,4.25,California,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,0,1,0,1,0,0,0,1,2020,115167.82516971846
1678,2020-01-10,435000.0,2017,40.0,22.0,4.0,Georgia,fiberglass,cruiser,3.0,0,1,0,1,inboard,2,1,0,0,0,1,0,0,0,1,2020,455436.3995347958
1679,2020-01-10,45000.0,1985,36.0,11.6,4.11,Outside United States,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2020,47114.11029670301
1680,2020-01-09,83500.0,1997,45.0,13.5,6.5,Outside United States,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2020,87422.84910610448
1681,2020-01-09,115000.0,1985,36.0,12.0,4.0,Florida,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,1,0,1,0,0,0,1,2020,120402.72631379658
1683,2020-01-07,85000.0,1985,38.0,11.9,4.6,Florida,fiberglass,racer,3.0,1,0,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2020,88993.31944932792
1684,2022-07-01,179000.0,1979,49.0,21.0,4.0,Florida,composite,cruiser,3.0,0,1,0,1,inboard,2,0,0,0,1,1,0,0,0,1,2022,179000.0
1685,2020-01-06,52000.0,1980,37.0,12.0,5.5,Florida,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,1,0,1,0,0,0,1,2020,54442.97189841237
1686,2020-01-05,95000.0,1997,38.0,12.3,5.3,Outside United States,fiberglass,racer,2.0,1,0,0,1,inboard,1,1,1,0,0,0,0,0,0,1,2020,99463.12173748414
1687,2020-01-05,150000.0,2010,43.0,13.6,6.7,Outside United States,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,0,0,0,1,0,0,0,1,2020,157047.03432234336
1689,2020-01-04,60000.0,1987,41.0,15.0,5.0,Outside United States,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,0,1,0,0,0,1,2020,62818.81372893735
1690,2020-01-04,729000.0,2012,44.0,22.0,4.0,Florida,fiberglass,cruiser,3.0,0,1,0,1,inboard,2,1,0,0,0,1,0,0,0,1,2020,763248.5868065888
1691,2020-01-03,490000.0,1944,75.0,20.0,9.0,Washington,wood,motorsailer,5.0,1,0,0,1,inboard,1,0,0,0,1,1,0,0,0,1,2020,513020.31211965496
1692,2020-01-03,144000.0,2012,40.0,13.3,6.7,Outside United States,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2020,150765.15294944964
1693,2020-01-03,22000.0,1992,27.0,9.0,3.5,Minnesota,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,0,0,0,1,0,0,0,0,2020,23033.565033943694
1694,2020-01-02,25500.0,1983,34.9,11.7,5.6,California,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2020,26697.995834798374
1695,2020-01-02,29900.0,1985,35.5,11.8,6.9,Maryland,fiberglass,racer,1.0,1,0,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2020,31304.70884158711
1696,2020-01-02,25000.0,1972,36.0,11.0,4.5,Outside United States,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,0,1,0,0,1,0,1,2020,26174.50572039056
1698,2019-12-31,84995.0,1990,43.0,13.8,5.4,Rhode Island,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2019,90085.91648184873
1699,2019-12-28,32000.0,1980,42.0,11.0,4.5,New York,steel,cruiser,2.0,1,1,0,1,inboard,1,0,0,0,0,0,0,1,0,1,2019,33916.69306922948
1700,2019-12-27,249000.0,2007,53.0,16.0,8.0,Outside United States,fiberglass,racer,4.0,1,0,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2019,263914.2679449418
1702,2019-12-25,14000.0,1980,30.0,10.2,5.0,Outside United States,fiberglass,racer,2.0,1,0,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2019,14838.553217787896
1703,2019-12-23,26000.0,1983,34.9,11.7,5.6,California,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2019,27557.313118748953
1705,2019-12-23,39000.0,1985,37.0,17.0,2.0,North Carolina,fiberglass,cruiser,4.0,0,1,0,1,inboard,2,1,0,0,1,0,0,0,1,1,2019,41335.96967812343
1706,2019-12-22,19500.0,1982,30.0,10.6,4.6,Outside United States,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,1,0,0,0,0,0,0,1,2019,20667.984839061715
1708,2019-12-20,12500.0,1968,29.0,9.0,4.5,Florida,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2019,13248.708230167766
1710,2022-01-26,57000.0,1983,36.5,11.6,6.2,Minnesota,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2022,57000.0
1712,2021-08-06,5900.0,1989,22.5,8.0,3.8,Michigan,fiberglass,racer,1.0,1,0,0,0,inboard,1,1,0,0,0,0,0,1,0,1,2021,5900.0
1716,2021-08-05,37900.0,1990,29.58,9.5,3.5,Kentucky,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2021,37900.0
1717,2021-08-05,12500.0,1984,27.0,9.3,3.3,New York,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2021,12500.0
1719,2021-08-04,13800.0,1982,29.0,9.0,4.5,Outside United States,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2021,13800.0
1720,2021-08-04,45900.0,1990,36.0,11.11,5.1,Maine,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2021,45900.0
1722,2021-08-04,31500.0,1988,34.5,11.75,3.83,New Jersey,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2021,31499.999999999996
1726,2021-08-04,7500.0,1977,30.0,10.0,4.1,Ohio,fiberglass,cruiser,1.0,1,1,0,0,inboard,1,1,1,0,0,0,0,1,0,1,2021,7500.0
1730,2021-08-02,49999.0,1983,43.6,12.3,6.3,Texas,fiberglass,cruiser,2.0,1,1,0,0,inboard,1,1,1,0,0,0,0,0,1,1,2021,49999.0
1737,2021-08-01,90000.0,1983,45.0,14.0,6.5,Outside United States,fiberglass,racer,4.0,1,0,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2021,90000.0
1739,2021-08-01,159000.0,2016,34.0,11.4,4.9,Vermont,fiberglass,racer,2.0,1,0,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2021,159000.0
1740,2021-07-31,33000.0,1998,24.0,19.0,1.5,Outside United States,fiberglass,cruiser,1.0,0,1,0,0,outboard,1,1,0,0,0,0,0,1,0,0,2021,33000.0
1743,2021-07-31,9300.0,2003,17.4,7.3,2.0,Pennsylvania,fiberglass,daysailer,1.0,1,0,1,0,outboard,1,1,0,0,0,0,0,1,0,0,2021,9300.0
1744,2021-07-31,5900.0,1982,25.0,8.0,210.0,Michigan,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,1,0,0,0,0,1,0,0,2021,5900.0
1746,2021-07-31,26000.0,1995,33.5,11.8,4.5,New York,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,1,0,0,0,1,0,1,2021,26000.0
1750,2021-07-28,18000.0,1978,28.0,10.0,4.5,Montana,fiberglass,racer,1.0,1,0,0,0,inboard,1,1,1,0,0,1,0,0,0,1,2021,18000.0
1753,2021-11-17,37000.0,1983,34.0,11.0,5.5,Florida,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2021,37000.0
1755,2021-07-27,29500.0,1978,30.0,10.6,4.8,Maryland,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,1,0,0,0,1,0,1,2021,29500.0
1756,2021-07-27,9950.0,1978,32.0,10.5,4.5,New York,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,0,1,0,1,0,0,1,2021,9950.0
1757,2021-07-27,3250.0,2005,16.7,7.8,10.0,New York,composite,daysailer,0.0,0,0,1,0,motorless,0,0,0,0,0,0,1,0,0,0,2021,3250.0
1758,2021-07-27,35000.0,1984,33.0,11.6,4.6,Outside United States,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2021,35000.0
1759,2021-07-27,12000.0,1987,26.0,9.0,50.0,Minnesota,fiberglass,racer,2.0,1,0,0,0,outboard,1,1,0,0,0,1,0,0,0,0,2021,12000.0
1761,2021-07-27,229808.0,2000,47.0,15.2,6.6,Outside United States,composite,cruiser,2.0,1,1,0,1,inboard,1,0,0,0,0,0,0,0,0,1,2021,229808.0
1764,2021-07-26,6000.0,1998,17.0,17.0,3.0,California,other,racer,0.0,0,0,0,0,motorless,0,0,0,0,0,0,0,1,0,0,2021,6000.0
1765,2021-07-26,28000.0,1981,33.0,10.0,5.8,Outside United States,fiberglass,racer,1.0,1,0,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2021,28000.0
1766,2021-07-26,13000.0,1998,26.0,8.0,1.0,Florida,fiberglass,daysailer,1.0,1,0,1,0,outboard,1,1,0,0,0,1,0,0,0,0,2021,13000.0
1767,2021-07-26,9000.0,1976,30.0,9.5,5.0,New York,fiberglass,cruiser,1.0,1,1,0,0,inboard,1,1,0,0,0,0,0,1,0,1,2021,9000.0
1769,2021-07-26,10000.0,1978,18.0,8.6,2.6,Georgia,fiberglass,daysailer,1.0,1,0,1,0,outboard,1,1,0,0,0,0,0,1,0,0,2021,10000.0
1770,2021-12-18,110000.0,1979,38.0,12.0,4.11,Florida,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,1,0,0,0,1,0,1,2021,110000.0
1771,2021-07-26,4900.0,1978,22.0,7.1,2.4,Pennsylvania,fiberglass,racer,1.0,1,0,0,0,outboard,1,1,1,0,0,1,0,0,0,0,2021,4900.0
1774,2021-07-25,35000.0,1979,36.4,11.5,4.5,Georgia,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2021,35000.0
1775,2021-07-25,15500.0,1979,30.0,11.0,5.2,Georgia,fiberglass,cruiser,2.0,1,1,0,0,inboard,1,1,1,0,0,0,0,1,0,1,2021,15499.999999999998
