,Model,posted_at,Year,Length,Beam,Draft,Location,Price,Material,Hull,Type,Rigging,Cabins,Condition
6062,Hunter Marine Legend,21-Jul-2013,1993,40.5',13.5',4- 10',California,"$89,900",fiberglass,monohull,motorsailer,masthead sloop,2,good
6063,Catalina 42mkll,19-Jul-2013,1999,42',14',5',Michigan,"$141,900",fiberglass,monohull,cruiser,,3,good
6064,Catalina C25,19-Jul-2013,1981,25',8',4',Maryland,"$9,700",fiberglass,monohull,cruiser,schooner,1,excellent
6065,Ericson Independence 31,19-Jul-2013,1979,31',10.2',4.11',Outside United States,"$18,000",fiberglass,monohull,,masthead sloop,1,good
6066,pearson 30 foot custom cutter rig,19-Jul-2013,1978,30',9',5',Florida,"$5,000",fiberglass,monohull,cruiser,cutter,1,fair
6067,Vanguard 15,18-Jul-2013,,15',',',Massachusetts,"$4,000",fiberglass,monohull,dinghy,,0,excellent
6068,C&amp;C ,18-Jul-2013,1978,24',',',Indiana,"$5,500",fiberglass,monohull,cruiser,,,good
6069,Pearson Coaster,18-Jul-2013,1967,30',11',4.5',New York,"$9,500",fiberglass,monohull,,,2,good
6070,C&amp;C 29 Mark II,17-Jul-2013,1985,29',11'5',5'11',Ohio,"$39,900",fiberglass,monohull,motorsailer,masthead sloop,2,good
6071,MacGregor 26M,17-Jul-2013,2011,26',8',16',Rhode Island,"$37,000",fiberglass,monohull,other,masthead sloop,1,excellent
6072,Maple Leaf Center Cockpit,17-Jul-2013,1978,42',13.5',4-7',Outside United States,"$139,900",fiberglass,monohull,cruiser,cutter,2,good
6073,Catalina 25',17-Jul-2013,1980,25',8',2'10',Minnesota,"$8,500",fiberglass,monohull,cruiser,masthead sloop,1,excellent
6074,Clark San Juan,16-Jul-2013,1978,"20'6""'","7'0""'","4'0""'",Illinois,"$3,000",fiberglass,monohull,racercruiser,,1,good
6075,TARTAN 27 II,16-Jul-2013,,27',',3.5',Florida,"$13,000",fiberglass,monohull,cruiser,,2,good
6076,coastal recreation Aquarius 23,16-Jul-2013,1973,23',',',Michigan,"$2,100",fiberglass,monohull,cruiser,,,good
6077,Catalina Capri,16-Jul-2013,2006,22',8',2' 8',New Jersey,"$17,000",fiberglass,monohull,,fractional sloop,1,excellent
6078,Beneteau Oceanis 321,16-Jul-2013,1996,32' 7',11' 3',4' 3',Texas,"$54,500",fiberglass,monohull,cruiser,schooner,1,excellent
6079,Columbia 30' Sloop,16-Jul-2013,1972,30',9.5',6',California,"$12,990",fiberglass,monohull,cruiser,masthead sloop,1,good
6080,Catalina Sloop,16-Jul-2013,1985,25',9',5',New Hampshire,"$7,000",fiberglass,monohull,cruiser,masthead sloop,1,good
6081,Raider Turbo,15-Jul-2013,2011,16',7',.5',Maryland,"$8,500",fiberglass,monohull,dinghy,,0,excellent
6082, Puffer,15-Jul-2013,,12.5',',',Indiana,$700,fiberglass,monohull,dinghy,,,good
6083,Hunter 25.5,15-Jul-2013,1986,25',',',Florida,"$5,990",fiberglass,monohull,cruiser,,,good
6084,Ericson MK III 32',14-Jul-2013,1989,32'6',10'10',6',California,"$34,500",fiberglass,monohull,cruiser,masthead sloop,1,excellent
6087,Oyster Lightwave 395,13-Oct-2013,1989,40',12',8',Outside United States,"$55,000",fiberglass,monohull,racer/cruiser,fractional sloop,2,good
6088,Catalina 36,12-Oct-2013,1986,36',12',6',Maine,"$49,000",fiberglass,monohull,cruiser,masthead sloop,3,good
6089,Schock Santana 20,12-Oct-2013,1977,20',',4',Ohio,"$3,000",fiberglass,monohull,racer/cruiser,fractional sloop,1,excellent
6090,Catalina 22,10-Oct-2013,1976,22',8',4',Missouri,"$4,500",fiberglass,monohull,daysailer,masthead sloop,1,excellent
6091,catalina 30,09-Oct-2013,1987,30',10.9',4.8',Florida,"$19,500",fiberglass,monohull,cruiser,,1,good
6092,Iroquois mkII,09-Oct-2013,1970,30',14',1.5',Florida,"$17,000",fiberglass,catamaran,cruiser,cat boat,4,good
6093,Hunter 380,09-Oct-2013,2001,38',12.5',5',Kansas,"$95,000",fiberglass,monohull,cruiser,,,good
