,Model,posted_at,Year,Length,Beam,Draft,Location,Price,Material,Hull,Type,Rigging,Cabins,Condition
0,Catalina C42 MKII two cabin,29-Mar-2017,2000,42',14',4.10',North Carolina,"$139,900",fiberglass,monohull,cruiser,masthead sloop,2,excellent
1,Nelson Merek IOR Composite Racer 40,29-Mar-2017,1985,40',13',6'10',Florida,"$16,000",composite,monohull,racer/cruiser,masthead sloop,2,fair
2,Chris Craft sloop,28-Mar-2017,1974,27 2',8 4',"4 6""'",Michigan,$,fiberglass,monohull,daysailer,masthead sloop,1,fair
3,NYE Yachts Capedory ALBERG 22 SOLD,28-Mar-2017,1984,22',7',3.1',New Jersey,"$7,800",fiberglass,monohull,cruiser,masthead sloop,1,good
4,O'Day Sloop,28-Mar-2017,1988,35',11.3',5',Outside United States,"$29,000",fiberglass,monohull,cruiser,masthead sloop,1,good
5,D A Bamford 1968,27-Mar-2017,1968,21',7',1.5',Missouri,"$3,500",fiberglass,monohull,daysailer,masthead sloop,1,excellent
6,J Boat J35,27-Mar-2017,1986,35',11'10',6'11',Michigan,"$26,900",fiberglass,monohull,racer/cruiser,,,good
7,Catalina Catalina 22,27-Mar-2017,1979,22',',',Pennsylvania,"$4,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,good
8,Caliber 40 LRC LRC,27-Mar-2017,2003,40',12.7',5.1',Florida,"$230,000",fiberglass,monohull,cruiser,cutter,3,excellent
9,Glander Tavana 33,27-Mar-2017,1967,35',10-1',3',Florida,"$10,000",fiberglass,monohull,cruiser,yawl,1,good
10,Catalina Capri 14.2,27-Mar-2017,1988,14'2',6'2',3'6',California,"$2,200",fiberglass,monohull,daysailer,fractional sloop,,good
11,Swan 42,27-Mar-2017,1985,42',13',8',California,"$114,650",fiberglass,monohull,cruiser,,,excellent
12,West wight potter Pocket cruiser,26-Mar-2017,1974,15',8',6',California,"$2,500",fiberglass,monohull,other,other,1,excellent
13,Catalina Catalina 27 Tall Rig,26-Mar-2017,1984,27',8.6',4.6',Connecticut,"$6,000",fiberglass,monohull,cruiser,,1,excellent
14,Catalina Sloop,26-Mar-2017,1982,30',11',"5'5""'",Maine,"$13,900",fiberglass,monohull,cruiser,masthead sloop,1,excellent
15,Adams &amp; Radford ADAMS 12,26-Mar-2017,1997,39.6',13.06',4.9',Outside United States,"$125,000",aluminum,monohull,cruiser,cutter,3,good
16,Mader Internaltional Star Class,26-Mar-2017,1982,22.7',',3',Missouri,"$2,500",fiberglass,monohull,racer,fractional sloop,,good
17,Ericson 27,25-Mar-2017,1976,27',9',3.4',Massachusetts,"$7,500",fiberglass,monohull,cruiser,,1,fair
18,Alcort Sunfish,25-Mar-2017,1996,13.9',',',Florida,"$2,400",fiberglass,monohull,daysailer,,,good
19,canadian sailcraft CS Yachts 36,25-Mar-2017,1985,36',11',4',Outside United States,"$40,000",fiberglass,monohull,cruiser,,2,good
20,Allied Seawind,24-Mar-2017,1964,30.5',9',4',New Jersey,"$23,000",fiberglass,monohull,cruiser,ketch,1,good
21,o'day 22,24-Mar-2017,1974,22',7.5',3',Wisconsin,"$4,000",fiberglass,monohull,cruiser,masthead sloop,1,good
22,Jeanneau sun odyssey 37,24-Mar-2017,2000,37.44',12.08',6.33',Outside United States,"$65,000",fiberglass,monohull,cruiser,masthead sloop,3,excellent
23,hunter Cherubini,24-Mar-2017,1983,25',8',4',Oklahoma,"$5,700",fiberglass,monohull,daysailer,,1,good
24,Catalina 30,24-Mar-2017,1982,30',11',5'3'',Michigan,"$16,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
25,Gulfstar Pilot House Motor Yacht,24-Mar-2017,1973,',',',Florida,$,fiberglass,monohull,motorsailer,,,
26,Lowell Salisbury Point Tender,23-Mar-2017,1984,11',',',Vermont,"$4,700",fiberglass,monohull,dinghy,,,
27,Vectorworks Blade16,23-Mar-2017,2008,16',',',Florida,"$9,950",composite,catamaran,racer,,,excellent
28,John Alden - Fuji Boats Fuji 35 Ketch,22-Mar-2017,1974,35',10',5',Outside United States,"$68,000",fiberglass,monohull,cruiser,ketch,1,excellent
29,Hobie 17 ,22-Mar-2017,1986,17',6',',Illinois,"$1,200",fiberglass,catamaran,cruiser,,,
30,Bangor Punta Ranger 28,22-Mar-2017,1975,28',9.58',4.50',California,"$9,500",fiberglass,monohull,racer/cruiser,other,1,excellent
31,Hunter 41DS,22-Mar-2017,2007,40'4',13'3',5',Maryland,"$158,000",fiberglass,monohull,cruiser,fractional sloop,2,excellent
32,Custom Built pilot house blue water cruiser,22-Mar-2017,2011,50',13.6',6',Wisconsin,"$249,000",other,monohull,cruiser,ketch,2,excellent
33,WD Schock 1968,21-Mar-2017,1968,28',10',6'',Florida,"$2,500",fiberglass,monohull,cruiser,,1,project boat
34,Caledonia Boatworks Bruce Roberts,21-Mar-2017,1978,52',14',7',Outside United States,"$168,000",fiberglass,monohull,motorsailer,,,excellent
35,J Boats J70,21-Mar-2017,2013,23',7.4',4.92',Connecticut,"$42,000",fiberglass,monohull,racer,fractional sloop,1,excellent
36,Catalina 22,21-Mar-2017,1981,22',',',South Carolina,"$6,500",fiberglass,monohull,cruiser,,,good
37,Synergy 1000,21-Mar-2017,2003,32',9'9',',Michigan,"$50,000",wood,monohull,cruiser,,,excellent
38,Catalina 1980,21-Mar-2017,1980,30',10'10',5'3',Texas,"$14,500",fiberglass,monohull,cruiser,masthead sloop,1,good
39,Catalina Catalina,21-Mar-2017,1981,30',11',"4'4""'",New York,"$5,300",fiberglass,monohull,racer/cruiser,masthead sloop,2,good
40,Custom Centerboard Weekender,21-Mar-2017,2001,18'6',7',1'6',Pennsylvania,"$8,000",wood,monohull,cruiser,,,excellent
41,O'Day 27,20-Mar-2017,1977,27',9',5',Illinois,"$4,400",fiberglass,monohull,cruiser,masthead sloop,3,fair
42,Tanton Custom Cold-Mold,20-Mar-2017,1981,36',12'6',6'2',Washington,"$32,500",fiberglass,monohull,cruiser,,,excellent
43,Newport Mark II,20-Mar-2017,1977,30',10'8',',Washington,"$12,500",fiberglass,monohull,cruiser,,,excellent
44,Rhodes Ranger,20-Mar-2017,1968,29',9',5',Florida,"$15,000",fiberglass,monohull,cruiser,masthead sloop,1,good
45,Pearson Alberg 35,20-Mar-2017,1962,35',9.65',5.35',Maryland,"$59,000",fiberglass,monohull,cruiser,masthead sloop,1,excellent
46,Chung Hwa Magellan,20-Mar-2017,1976,44',11'8',7'5',Oregon,"$44,995",fiberglass,monohull,cruiser,,,excellent
47,custom built Bruce Roberts spray,19-Mar-2017,1989,46',14.6',5',Florida,"$179,900",fiberglass,monohull,cruiser,ketch,4,excellent
48,S-2 8.0,19-Mar-2017,1983,27',8',4',Wisconsin,"$9,000",fiberglass,monohull,cruiser,masthead sloop,1,good
49,Ranger 23 tall rig,18-Mar-2017,1976,23',7',4',New York,"$1,500",fiberglass,monohull,daysailer,fractional sloop,1,good
50,Hunter 2006,18-Mar-2017,2006,25',',',California,"$17,000",fiberglass,monohull,cruiser,,,excellent
51,Pearson P28,18-Mar-2017,1977,28',9',5'9',New York,"$7,800",fiberglass,monohull,cruiser,masthead sloop,1,excellent
52,Voyager 26,18-Mar-2017,1979,25',8'3',3'4',Connecticut,"$28,500",fiberglass,monohull,cruiser,,,excellent
53,Hunter 31,18-Mar-2017,1987,31',11',5',Missouri,"$17,000",fiberglass,monohull,cruiser,masthead sloop,,excellent
54,Cal 28 Mark II,17-Mar-2017,1986,28',9',4.5',California,"$28,500",fiberglass,monohull,cruiser,masthead sloop,,good
55,Hunter 216,16-Mar-2017,2006,21'6',7'11',1'0',Kentucky,"$6,900",composite,monohull,daysailer,masthead sloop,,good
56,Flying Scot Flying Scot,15-Mar-2017,2005,18',',0',New Jersey,"$11,000",fiberglass,monohull,daysailer,masthead sloop,0,good
57,North Sails Force 5 Short Sail,15-Mar-2017,,',',',Tennessee,$300,fiberglass,monohull,cruiser,,,excellent
58,Laser Laser Radial   Full,15-Mar-2017,1999,13',',',Maryland,"$3,900",fiberglass,monohull,dinghy,,,excellent
59,Tillotson Pearson Inc USA Freedom 25,15-Mar-2017,1983,25.67',8.5',4.42',Rhode Island,"$12,000",fiberglass,monohull,cruiser,cat boat,1,excellent
60,Tolson Pearson J-30,14-Mar-2017,1979,30',11.8',5.5',Maryland,"$12,500",fiberglass,monohull,racer/cruiser,fractional sloop,,good
61,Catalina Catalina  Tall Rig,14-Mar-2017,1984,36',11-11',5-10',Outside United States,"$55,000",fiberglass,,,,2,excellent
62,Ranger 28' sail,14-Mar-2017,1977,28',9',5',Maine,"$6,500",fiberglass,monohull,racer/cruiser,masthead sloop,1,fair
63,Cal Mark III,13-Mar-2017,1983,27',9',5',Illinois,"$7,500",fiberglass,monohull,cruiser,other,,fair
64,Bristol 24,13-Mar-2017,1970,24.7',8',3.5',California,"$6,000",fiberglass,monohull,cruiser,,,good
65,Catalina 22 mark II,12-Mar-2017,1980,22',7',2',Florida,"$2,500",fiberglass,monohull,daysailer,masthead sloop,0,
66,Macgregor 26D,12-Mar-2017,1988,26',7',1',New York,"$5,000",fiberglass,monohull,cruiser,,,good
67,Sabre 28,12-Mar-2017,1981,28',9.2',4.33',Massachusetts,"$13,900",fiberglass,monohull,cruiser,masthead sloop,1,excellent
68,Bankcroft wood,12-Mar-2017,1991,40',20',15',California,"$17,700",wood,monohull,motorsailer,ketch,2,good
69,Soca Boatworks Henderson 30,11-Mar-2017,1997,30',10',7',Outside United States,"$48,000",fiberglass,monohull,racer,fractional sloop,,excellent
70,Catalina Catalina,11-Mar-2017,1981,30',',',New York,"$6,000",fiberglass,monohull,racer/cruiser,other,0,good
71,Pearson 30,11-Mar-2017,1974,30',9.5',5',Rhode Island,"$4,900",fiberglass,monohull,cruiser,masthead sloop,1,excellent
72,SOLD - Beneteau Oceanis 45,10-Mar-2017,2016,45.75',14.75',5.75',Texas,"$350,000",fiberglass,monohull,cruiser,fractional sloop,3,new
73,Watson Ex Lifeboat,10-Mar-2017,1928,40',11',',,"$34,000",wood,monohull,cruiser,cutter,,excellent
74,Hake Seaward 46RK,09-Mar-2017,2015,48',13'3',2.5-7',Maryland,"$629,000",fiberglass,monohull,cruiser,fractional sloop,3,excellent
75,SOLD   HAKE  SEAWARD 32RK With Trailer,09-Mar-2017,2006,34',10.5',',Florida,$,fiberglass,monohull,cruiser,fractional sloop,,excellent
76,CE Ryder Southern Cross 35' cutter,09-Mar-2017,1984,35',11.42',5',Outside United States,"$57,000",fiberglass,monohull,cruiser,cutter,2,excellent
77,Catalina C27,09-Mar-2017,1986,27',8.83',4.0',Rhode Island,"$8,700",fiberglass,monohull,cruiser,other,0,good
78,irwin Bluewater Sloop,09-Mar-2017,1982,35',',',Florida,"$9,000",fiberglass,monohull,cruiser,,2,good
79,Hunter 45CC,23-Mar-2011,2009,45',14'6',5'',New York,"$302,500",fiberglass,monohull,cruiser,,2,new
80,Beneteau 31,21-Mar-2011,2009,31'8',11'1',6'1',Florida,"$110,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
81,Beneteau 423,20-Mar-2011,2005,42.25',',5.7',Pennsylvania,"$184,000",fiberglass,monohull,cruiser,,2,excellent
82,newport 27,19-Mar-2011,81,27',10',4'8',New York,"$11,500",fiberglass,monohull,cruiser,masthead sloop,2,good
83,Endeavour Endeavour 37,18-Mar-2011,1977,37',11.5',4.5',Florida,"$34,900",fiberglass,monohull,motorsailer,masthead sloop,2,good
84,Ericson 200 Built by Pacific SeaCraft,17-Mar-2011,1991,38',12',5.6',Connecticut,"$99,495",fiberglass,monohull,cruiser,masthead sloop,3,good
85,Vindo 65 Ketch,17-Mar-2011,1985,38',12',6',Connecticut,"$99,995",fiberglass,monohull,cruiser,ketch,3,good
86,Sudden Yachts Mull 27 1/4 ton,17-Mar-2011,1976,27',8.5',5',California,"$4,500",fiberglass,monohull,racer,masthead sloop,,
87,Catalina 22,15-Mar-2011,1982,22',8',5',Florida,"$4,000",fiberglass,monohull,,masthead sloop,,good
88, Yankee 1,14-Mar-2011,1945,30',',',Virginia,"$15,000",wood,monohull,daysailer,fractional sloop,1,good
89,Mirage Mirage 24,13-Mar-2011,1974,24',8',4',Connecticut,"$4,500",fiberglass,monohull,,masthead sloop,2,excellent
90,Hunter 170,13-Mar-2011,2009,17',7',1',Washington,"$9,500",composite,monohull,daysailer,,,excellent
91,Hunter Hunter 23.5,12-Mar-2011,1994,23.5',8.4',18',Outside United States,"$15,000",fiberglass,monohull,cruiser,fractional sloop,1,excellent
92,Beneteau Oceanis 36' Centercokcpit,12-Mar-2011,1999,36'',12'6',5'3',New York,"$105,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
93,Joel White Herresoff 12 1/2,10-Mar-2011,2011,16',6',1 12',Ohio,$0,wood,monohull,daysailer,other,0,new
94,Hunter 170,09-Mar-2011,2002,17'1',7'',6'',Nevada,"$5,595",fiberglass,monohull,daysailer,fractional sloop,0,good
95,Seafarer Swiftsure,08-Mar-2011,1980,30',10',4.75',Maryland,"$15,000",fiberglass,monohull,cruiser,masthead sloop,1,excellent
96,Capital Yachts Newport 28,28-Feb-2011,1975,28.5',9' 8',4'',Maryland,"$9,000",fiberglass,monohull,cruiser,,1,excellent
97,Catalina 400,27-Feb-2011,2005,41.6',13.6',6.11',California,"$220,000",fiberglass,monohull,daysailer,other,2,excellent
98,Beneteau 411,22-Feb-2011,2001,41',12 11',4' 9',Florida,"$330,000",fiberglass,monohull,,,2,excellent
99,MFG MFG 19,21-Feb-2011,1983,19',7',2',Maine,"$4,000",fiberglass,monohull,cruiser,,1,good
100,1947 Fellows and Stewart Island Clipper 44' ,21-Feb-2011,1947,44'',9'06',6'06',California,"$17,000",wood,monohull,,masthead sloop,1,
101,C&amp;L CL14,20-Feb-2011,2011,14',"5'7""'","8""'",Florida,"$6,999",fiberglass,monohull,daysailer,masthead sloop,0,new
102,ron holland EYGTHENE 24,20-Feb-2011,1977,24',9.67',4.59',,"$9,500",fiberglass,monohull,cruiser,,1,good
103,O'Day 23,20-Feb-2011,1974,23',7'11',2'3',Connecticut,"$2,500",fiberglass,monohull,cruiser,masthead sloop,0,excellent
104,Coastal Recreation Balboa 26,13-Feb-2011,1977,25.6',7',5.6',Tennessee,"$8,700",fiberglass,monohull,cruiser,masthead sloop,1,good
105,C&amp;C MK1,13-Feb-2011,1972,27',9.2',4.5',,"$15,000",fiberglass,monohull,,masthead sloop,1,excellent
106,Cal Cal30,11-Feb-2011,1974,30',11',5.5',Florida,"$15,000",fiberglass,monohull,,,,good
107,MARINER SLOOP,11-Feb-2011,1980,36',12',5',Georgia,"$54,900",fiberglass,monohull,cruiser,masthead sloop,2,excellent
108,Cherubini Staysail Schooner Staysail Schooner,10-Feb-2011,2000,48',',',Florida,"$760,000",fiberglass,monohull,daysailer,schooner,2,excellent
109, catalina 38,08-Feb-2011,1984,38.3'',11.11',6.9'',Nevada,"$50,000",fiberglass,monohull,racercruiser,,,excellent
110,J Boats TPI J120,08-Feb-2011,1997,40',12',7',Outside United States,"$143,000",fiberglass,monohull,,fractional sloop,3,good
111,American Mariner Cruiser ,07-Feb-2011,1975,23',7.83',2',Florida,"$5,500",fiberglass,monohull,cruiser,masthead sloop,1,excellent
112,Beneteau Oceanis 440,07-Feb-2011,1995,44',13'6',6',California,"$110,000",fiberglass,monohull,cruiser,schooner,3,excellent
113,Morgan Out Island,06-Feb-2011,1973,33',11.10',3.11',Alabama,"$35,000",fiberglass,monohull,cruiser,masthead sloop,1,excellent
114,MC 39 Sloop,06-Feb-2011,1978,39',12',6',Outside United States,"$69,500",fiberglass,monohull,cruiser,masthead sloop,2,good
115,Irwin Ketch,05-Feb-2011,1974,37',12',4',Florida,"$35,000",fiberglass,monohull,motorsailer,ketch,1,fair
116,Beneteau 405,02-Feb-2011,1995,40',13',5'6',Outside United States,"$127,500",fiberglass,monohull,cruiser,masthead sloop,3,good
117,Pearson Renegade,01-Feb-2011,1968,27',8',3.5',Maryland,"$2,395",fiberglass,monohull,cruiser,masthead sloop,2,fair
118,Tartan 34C,31-Jan-2011,1976,34',10.5',4',Maryland,"$15,000",fiberglass,monohull,cruiser,masthead sloop,1,good
119,Dufour MEZZO 28,30-Jan-2011,1984,28',10.5',5.5',New York,"$11,000",fiberglass,monohull,racer/cruiser,masthead sloop,2,excellent
120,American Marine Motor Sailor,29-Jan-2011,1964,55',14'5',5'3',Outside United States,"$159,000",wood,monohull,motorsailer,ketch,3,fair
121,Stiletto 23,26-Jan-2011,1985,23',13',1',New Jersey,"$7,499",fiberglass,catamaran,,masthead sloop,,excellent
122,Laser 28,24-Jan-2011,1985,28',9',5',Kansas,"$26,000",other,monohull,,fractional sloop,1,good
123,beneteau Oceanis 390,23-Jan-2011,1987,39',13',5',Outside United States,"$65,000",fiberglass,monohull,cruiser,,3,excellent
124,CAL T2 ,22-Jan-2011,1971,27',9',5',Virginia,"$10,000",fiberglass,monohull,motorsailer,masthead sloop,1,good
125,Catalina 320,22-Jan-2011,2001,32.6',11.9',4.4',Florida,"$84,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
126,Catalina Sailboat,20-Jan-2011,1987,36',15',6.5',California,"$49,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
127,Morgan Classic,19-Jan-2011,1887,41',',',Georgia,"$99,500",fiberglass,monohull,cruiser,,,excellent
128,Pearson P30,17-Jan-2011,1972,30',9'6',5'',Massachusetts,"$12,000",fiberglass,monohull,cruiser,masthead sloop,2,good
129,Hunter 41,16-Jan-2011,2001,41',13'10',5',Florida,"$154,900",fiberglass,monohull,cruiser,fractional sloop,3,good
130,Hunter Sloop,16-Jan-2011,2004,33',11'6',4'6',Florida,"$81,900",fiberglass,monohull,cruiser,fractional sloop,3,excellent
131,Catalina 387,15-Jan-2011,2003,38.7',12.4',4'10',New York,"$149,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
132,Beneteau 49,14-Jan-2011,2008,49',14',8',California,"$319,500",fiberglass,monohull,cruiser,,2,excellent
133,Morgan 445 - Nelson Marek,10-Jan-2011,1989,44.6',13.6',5',Florida,"$129,900",fiberglass,,cruiser,,,excellent
134,Ranger R-23,08-Jan-2011,1976,23',7.92',3'9',Florida,"$3,900",fiberglass,monohull,,masthead sloop,,good
135,GibSea Gibsea 474,04-Jan-2011,1994,47',12.7',5.9',Outside United States,"$92,000",fiberglass,monohull,cruiser,masthead sloop,4,good
136,ericson 27,03-Jan-2011,1973,27',9',',California,"$5,750",fiberglass,monohull,cruiser,masthead sloop,1,excellent
137,US Yachts  Bayliner 25',02-Jan-2011,1981,25'',8'',4.6'',Washington,"$2,500",fiberglass,monohull,cruiser,masthead sloop,1,good
138,Catalina 380,28-Dec-2010,1997,38',12' 4',7' 0',Iowa,"$115,000",fiberglass,monohull,cruiser,ketch,1,good
139,Carrera 290,27-Dec-2010,1992,29.2',9.5',5.5',Texas,"$17,999",fiberglass,monohull,racercruiser,fractional sloop,1,good
140,Tashing BABA,26-Dec-2010,1980,30',10'3',4'9',Georgia,"$45,000",fiberglass,monohull,cruiser,cutter,1,good
141,J BOATS J-109,20-Dec-2010,2001,35.25',11.50',7.00',Florida,"$120,000",,monohull,motorsailer,,2,excellent
142,JMV INDUSTRIES Racing Schooner Senso One ex Mari Cha IV,20-Dec-2010,2001,140',31',20',,"$5,700,000",composite,monohull,,schooner,,
143,Jeanneau 37'  Voyage,17-Dec-2010,1990,37',12',5.3',Outside United States,"$95,000",fiberglass,monohull,cruiser,masthead sloop,3,excellent
144,Bristol 22' Sailboat,17-Dec-2010,1970,22',8',4',Ohio,"$3,200",fiberglass,monohull,cruiser,masthead sloop,1,good
145,Cal Cal 29,17-Dec-2010,1970,29',9',5',Ohio,"$10,500",fiberglass,monohull,cruiser,masthead sloop,1,fair
146,JEANNEAU ,17-Dec-2010,2009,45',14',5.4',Florida,"$375,000",fiberglass,monohull,cruiser,masthead sloop,3,excellent
147,Cal Sailboat,15-Dec-2010,1971,27',9',5',Virginia,"$11,000",fiberglass,monohull,motorsailer,masthead sloop,1,good
148,catalina 27,12-Dec-2010,1984,27',',5' 11',Ohio,"$11,000",fiberglass,monohull,cruiser,masthead sloop,1,good
149,Pearson 36-2,08-Dec-2010,1986,36',',',Florida,"$53,000",fiberglass,monohull,cruiser,,,excellent
150,mirage 236,06-Dec-2010,1979,23.5',9',5',Alabama,"$3,000",fiberglass,monohull,,masthead sloop,2,fair
151,Creekmore sailboat,05-Dec-2010,1984,40',13',7',Florida,"$35,000",fiberglass,monohull,,masthead sloop,2,good
152,Columbia 8.3,05-Dec-2010,1977,27',9.4',4.5',Florida,"$7,500",fiberglass,monohull,,masthead sloop,1,good
153,Islander Bahama 28,04-Dec-2010,1976,27'11',9'10',5'',North Carolina,"$5,500",fiberglass,monohull,cruiser,masthead sloop,2,project boat
154,Herreshoff Cat Ketch,04-Dec-2010,1984,38',',',Florida,"$64,900",fiberglass,monohull,cruiser,ketch,,
155,Lapworth Cal 35 Cruiser,03-Dec-2010,1974,35',11',5.9',Outside United States,"$55,000",fiberglass,monohull,cruiser,masthead sloop,1,good
156,Great Lakes Boat Building School Atkins design cat boat,01-Dec-2010,2009,11'',',',Michigan,"$3,825",wood,monohull,dinghy,cat boat,0,excellent
157,Herreshoff NY30,30-Nov-2010,1905,44',8'10',6'4',New York,"$45,000",wood,monohull,,fractional sloop,,excellent
158,Hardin Island Trader,29-May-2022,1981,45',13.4',5.5',Florida,"$159,000",fiberglass,monohull,cruiser,ketch,4,excellent
159, E Scow,28-May-2022,1991,28',',',New Jersey,"$3,000",fiberglass,monohull,racer/cruiser,scow,,
160,Capri 25,29-May-2022,1980,25',9.2',4.2',Wisconsin,"$5,700",fiberglass,monohull,daysailer,masthead sloop,,good
161,Pearson Triton,28-May-2022,1984,25',8',5',Alabama,"$6,000",fiberglass,monohull,cruiser,masthead sloop,1,good
162,Edel 820,28-May-2022,1980,27',9.67',4.5',Outside United States,"$9,000",fiberglass,monohull,daysailer,fractional sloop,,good
163,Morgan 415,27-May-2022,1978,41',',',Florida,"$50,000",fiberglass,monohull,,ketch,2,good
164,O'day Sailboat,27-May-2022,1986,31',10.75',5.25',New York,"$24,900",fiberglass,monohull,cruiser,masthead sloop,2,excellent
165,Seafarer 36 C,27-May-2022,1971,36',10.5',4.5',California,"$42,000",fiberglass,monohull,cruiser,masthead sloop,1,good
166,S2 Yachts 9.2A,28-May-2022,1977,30',10.25',5',New Jersey,"$17,000",fiberglass,monohull,cruiser,masthead sloop,1,excellent
167,Fisher Pilothouse Ketch,27-May-2022,1978,30',9'6',4'3',Massachusetts,"$54,500",fiberglass,monohull,cruiser,ketch,,
168,Macgregor ,27-May-2022,,26',',',Florida,"$18,000",fiberglass,monohull,cruiser,,,
169,Tillotson Pearson Freedom 40 aft cockpit,27-May-2022,1978,40',12',59',Florida,"$20,000",fiberglass,monohull,cruiser,ketch,2,fair
170,Boston Whaler Harpoon,26-May-2022,1982,15',6.7',0-3.4',Massachusetts,"$1,600",fiberglass,monohull,cruiser,fractional sloop,,good
171,Robertson &amp; Caine Leopard 39,26-May-2022,,39',19'9',3.5',Outside United States,"$140,000",fiberglass,catamaran,cruiser,,3,project boat
172,Catalina 30 Mark II,28-May-2022,1988,30',10.83',5.25',Massachusetts,"$19,000",fiberglass,monohull,cruiser,other,2,good
173,Ericson 34,26-May-2022,1987,34.92',11.33',4.92',Wisconsin,"$48,000",fiberglass,monohull,racer/cruiser,masthead sloop,3,excellent
174,Com-Pac Yachts Eclipse,26-May-2022,2022,21',7'4',5'2',Georgia,$,fiberglass,monohull,cruiser,,,
175,Caliber 40,26-May-2022,1994,40',12.67',5.08',Hawaii,"$120,000",fiberglass,monohull,cruiser,cutter,2,good
176,Beneteau Oceanis 281,26-May-2022,1996,28.5',9.5',4',Florida,"$39,900",fiberglass,monohull,cruiser,masthead sloop,,good
177,HALBERG-RASSY RASMUS 35,26-May-2022,1972,35',10',4'3',North Carolina,"$49,900",fiberglass,monohull,cruiser,masthead sloop,3,good
178,Manuel Campos Cutter,26-May-2022,1934,35',12',9',Washington,"$21,000",wood,monohull,cruiser,cutter,1,good
179,Tayana Custom 52,25-May-2022,1988,52',15',6.5',Maryland,"$385,000",fiberglass,monohull,cruiser,masthead sloop,4,good
180,Catalina 320,25-May-2022,1997,32'6',11'9',4'3',Michigan,"$54,900",fiberglass,monohull,cruiser,,2,good
181,Beneteau Oceanis 40 CC,26-May-2022,1999,40',13',5.5',Florida,"$99,000",fiberglass,monohull,cruiser,cutter,2,good
182,Hutchins Compac 23 Mk ll,25-May-2022,1984,24',8',23',New Jersey,"$4,900",fiberglass,monohull,daysailer,masthead sloop,2,good
183,C&amp;C 35-3,25-May-2022,1986,35',11',4',Maryland,"$34,900",fiberglass,monohull,racer/cruiser,masthead sloop,1,good
184,Hunter 29.5,26-May-2022,1995,29.5',10.5',4',New York,"$34,500",fiberglass,monohull,cruiser,masthead sloop,2,good
185,Catalina MK 1,25-May-2022,1989,36',11'11',4'5',Maryland,"$54,900",fiberglass,monohull,racer/cruiser,,2,
186,Tartan Tartan27,25-May-2022,1962,27',8',3',New York,"$5,000",fiberglass,monohull,cruiser,masthead sloop,1,good
187,Lagoon 52F,25-May-2022,2020,52',23'8'',5'1'',Outside United States,"$1,199,900",fiberglass,catamaran,cruiser,,6,
188,Catalina 42 MKII,25-May-2022,2000,42',14',6.6',California,"$145,000",fiberglass,monohull,cruiser,masthead sloop,2,good
189,Beneteau Oceanis 430,25-May-2022,1992,43',',',,"$99,000",fiberglass,monohull,cruiser,,4,good
190,Beneteau Oceanis 351,24-May-2022,1997,35',12',5',Wisconsin,"$59,500",fiberglass,monohull,cruiser,masthead sloop,2,good
191,Morgan Morgan 416,09-Jun-2022,1978,42',13',4',Louisiana,"$69,990",fiberglass,monohull,cruiser,ketch,3,excellent
192,Hunter 41 DS,25-May-2022,2008,41',13.25',5',Maryland,"$137,500",fiberglass,monohull,motorsailer,,2,excellent
193,Endeavour Plan a,24-May-2022,1980,37',',',Florida,"$29,000",fiberglass,monohull,cruiser,,1,good
194,Vanguard Laser,24-May-2022,,14',',',Florida,"$4,500",fiberglass,monohull,dinghy,other,,
195,Custon made Catamarn,24-May-2022,2007,37',19',3.5',Florida,"$125,000",fiberglass,monohull,cruiser,,3,
196,Composite built SNS,24-May-2022,2017,15',5.5',3',Washington,"$3,800",composite,monohull,daysailer,cat boat,,good
197,bayliner bucaneer 210,23-May-2022,1975,21',8',2',Washington,"$3,500",fiberglass,monohull,other,other,1,good
198,Windship 60,23-May-2022,1989,60',',',Florida,"$599,900",fiberglass,monohull,,cutter,3,excellent
199,Catalina 30 MKII Tall Mast Bow Sprit,23-May-2022,1988,30',10.83',5.5',Ohio,"$34,800",fiberglass,monohull,racer/cruiser,masthead sloop,2,excellent
200,Irwin Citation 35,20-Jul-2022,1986,35.25',11.5',4'8',North Carolina,"$49,900",fiberglass,monohull,racer/cruiser,masthead sloop,2,excellent
201,Catalina Catalina 30,23-May-2022,1978,30',10.10',5',Connecticut,"$19,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
202,melges M-20,23-May-2022,1978,20-0',5'',8',Florida,$350,fiberglass,monohull,racer,fractional sloop,,project boat
203,Pearson 323,23-May-2022,1981,32.3',10.6',4.5',Florida,"$35,000",fiberglass,monohull,cruiser,fractional sloop,2,excellent
204,deutsche werft kreutzer,23-May-2022,1948,30',10',5',Outside United States,"$46,000",steel,monohull,cruiser,fractional sloop,2,excellent
205,Leopard Robertson and Caine Leopard 45,08-Jun-2022,2020,45',24',5',North Carolina,"$959,000",fiberglass,catamaran,cruiser,cat boat,3,excellent
206,Marshall Marine Catboat,23-May-2022,1970,17.5',8.5',1.58',Massachusetts,"$8,250",fiberglass,monohull,daysailer,cat boat,1,good
