,Model,Length: ,    Beam:,    Draft:,Year: ,Type: ,Hull: ,Location: ,Asking: ,posted_at,Engine: 
899,Beneteau 40cc,40',12.9',5.6',1997,cruiser,fiberglass  monohull,"Currently in Stuart, Florida","$84,900",31-Jul-2019,1 diesel inboard
919,ODAY O'DAY 25 centerboard,25',8',"6'4""'",1977,cruiser,fiberglass  monohull,"HARBOR BEACH, Michigan","$4,600",31-Jul-2019,1 gas outboard
939,hand built wooden sail boat,13',,,,daysailer,wood  monohull,"301 front street Beaufort NC, North Carolina","$2,000",31-Jul-2019,
955,Catalina 320,32',11.7',6',1994,cruiser,fiberglass  monohull,"Long Beach, California","$56,000",30-Jul-2019,1 diesel inboard
975,Beneteau 361,36.42',12.5',4.5',2002,cruiser,fiberglass  monohull,"San Diego, California","$84,000",30-Jul-2019,2 diesel inboard
995,Catalina 27 C27,27',8',4',1983,cruiser,fiberglass  monohull,"Port Huron MI, Michigan","$8,000",30-Jul-2019, diesel inboard
1015,Wright Yacht Company Inc Allied Seawind MK II,32',10.6',4.6',1977,cruiser,fiberglass  monohull,"Lake City, Minnesota","$36,200",30-Jul-2019,1 diesel inboard
1035,Catalina 26 HP M25xpb Diesel C-30,30',10.8',5.25',1982,racer/cruiser,fiberglass  monohull,"Essex, Connecticut","$12,150",30-Jul-2019,1 diesel inboard
1055,Stuart Rhodes 19,19',7',1',2003,cruiser,fiberglass  monohull,"Mystic, Connecticut","$15,500",30-Jul-2019,1 gas outboard
1075,Marine Concepts Seapearl 21,21',5.5',.5',1994,daysailer,fiberglass  monohull,"Bedford, Virginia","$3,800",30-Jul-2019,
1093,HUNTER Hunter Marine 27,27',9.25',4.25',1980,cruiser,fiberglass  monohull,"Guntersville, Alabama","$5,000",30-Jul-2019,1 diesel inboard
1113,Halman 20,20',7'9',2'8',1978,cruiser,fiberglass  monohull,"Lorton Va, Virginia","$3,500",30-Jul-2019,1 gas outboard
1133, viper 640,21',,,2008,racer,fiberglass  monohull,"Stuart, Florida","$15,500",30-Jul-2019,0 other inboard
1153,cape dory 25,25',7',3',77,cruiser,fiberglass  monohull,"Huntington, New York","$6,750",30-Jul-2019,1 gas inboard
1173,Aura Yachts AURA 57,57',17.06',9.02',2020,racer/cruiser,aluminum  monohull,"Bursa - Turkey, Outside United States","$1,150,000",30-Jul-2019,1 other inboard
1203,Menger Catboat,23',10.6',2.3',2003,cruiser,fiberglass  monohull,"Naples, Florida","$38,000",29-Jul-2019,1 diesel inboard
1223,Blue Water Yachts Vagabond 47,47',13.5',5.5',2017,cruiser,fiberglass  monohull,"Jacksonville, Florida","$395,000",29-Jul-2019,1 diesel inboard
1243,pram dinghy,8',4',1',2003,dinghy,wood  monohull,"Hull, Massachusetts",$600,29-Jul-2019,
1261,Bauer 2000,12',,,2000,daysailer,fiberglass  monohull,"Coldspring, Texas","$3,000",28-Jul-2019,1 gas outboard
1281,Sunfish AMF Sunfish,14',,,1978,daysailer,fiberglass  monohull,"Sea Girt, New Jersey",$800,28-Jul-2019,
1299,Sabre 28 Mark I,28',9',4'6',1973,cruiser,fiberglass  monohull,"Annapolis, Maryland","$7,500",26-Jul-2019,1 gas inboard
1319,Rondar Boats Viper640,21',8',6',2015,cruiser,fiberglass  monohull,"Fort Walton Yacht Club, Florida","$21,500",26-Jul-2019, gas inboard
1339,MINI CAT Minicat 420,14',7',1',2011,other,other  catamaran,"port washington, New York","$3,500",26-Jul-2019,
1357,Bayliner Bucanner,22',,2.8',1979,daysailer,fiberglass  monohull,"Prairie du Chien WI, Wisconsin","$3,500",25-Jul-2019,1 gas outboard
1377,Tartan Yachts T-33,34',10.96',4.46',1980,racer/cruiser,fiberglass  monohull,"Wickford, Rhode Island","$31,000",25-Jul-2019,1 diesel inboard
1397,Sold-sunfish-sold Sold-sunfish-sold,13',4',1',,daysailer,fiberglass  monohull,"Fredericksburg, Virginia",$400,25-Jul-2019, other inboard
1415,MacGregor 222,22',7.3',1-5',1983,cruiser,fiberglass  monohull,"Keeseville, New York","$3,800",24-Jul-2019,0 gas outboard
1435,Island Packet 26 Mark II,26',10'6',2'6',1983,cruiser,fiberglass  monohull,"Titusville, Florida","$15,900",24-Jul-2019,1 diesel inboard
1455,young sun ,35',11.2',5.6',,cruiser,fiberglass  monohull,"Hampton, Virginia","$27,500",24-Jul-2019,1 diesel inboard
1473,Helsen Streaker,20',,,1975,daysailer,fiberglass  monohull,"Sodus Point, New York","$1,500",24-Jul-2019,
1491,Bob Perry Cape George Custom designed and built,44'7',13',7',1985,racer/cruiser,fiberglass  monohull,"Anacortes, Washington","$110,000",24-Jul-2019,1 diesel inboard
1511,Farr 395,39',"12'1""'","7'10""'",2002,cruiser,fiberglass  monohull,,"$125,000",24-Jul-2019, gas inboard
0,Shock 23.5/hyrokeel,24',8.3',2.5',1988,cruiser,fiberglass  monohull,"Kenlake, Kentucky","$11,500",26-Apr-2013,1 gas outboard
21,Honor Marine Drascomb Driver,20',10',3.5',1986,daysailer,fiberglass  monohull,"Northfield Mass, Massachusetts","$3,100",26-Apr-2013,1 gas inboard
41,Herreshoff 12 12 Doughdish Gaff-rigged Sloop,15.9',5.9',2.5',1995,daysailer,fiberglass  monohull,"West Falmouth, Massachusetts","$23,000",25-Apr-2013,
59,Ericson 26,26',7.75',4.25',1974,cruiser,fiberglass  monohull,"Washington, North Carolina",$900,25-Apr-2013,
77,Ericson 27,27',9.10',3.11',1978,cruiser,fiberglass  monohull,"Washington, North Carolina","$12,000",25-Apr-2013,1 diesel inboard
97,PrindelNacra P 18,18',8',1',1985,racer,fiberglass  catamaran,"Bay Shore, New York","$3,000",25-Apr-2013, gas inboard
117,hunter sloop,27',9.8',4',1977,cruiser,fiberglass  monohull,"palmetto, Florida","$7,000",25-Apr-2013,1 diesel inboard
137,Concordia Sloop,17'8'',,,1966,daysailer,wood  monohull,"Coconut Grove, Florida","$2,000",24-Apr-2013,
155,MacGregor Power sail,26',8',7',1993,cruiser,fiberglass  monohull,"10149 Imperial Street Chilliwack BC Canada, Outside United States","$17,000",24-Apr-2013,1 gas outboard
175,Walker Bay Walker Bay sailing dinghy,8',,,,dinghy,fiberglass  monohull,"Baton Rouge, Louisiana",$750,23-Apr-2013,
191,Catalina Mark II,22',8.3',2.5'',2007,racercruiser,fiberglass  monohull,"Nevada City, California","$27,500",22-Apr-2013,1 gas outboard
211,Seidelmann racecruiser,25',9.5',4.5',1978,cruiser,fiberglass  monohull,"Great Sacandaga Lake, New York","$3,900",21-Apr-2013, gas outboard
231,Hake Seaward Fox,19',8',1.67',2001,daysailer,fiberglass  monohull,"Island Lake of Novi, Michigan","$12,000",21-Apr-2013,1 other outboard
251,Jeanneau 43 Deck Saloon,43',,,2001,cruiser,fiberglass  monohull,"Largs Scotland, Outside United States","$190,000",21-Apr-2013, diesel inboard
271,Livingston Model 8 Dinghy,7.5',4',,2006,dinghy,fiberglass  ,"Reno, Nevada",$900,21-Apr-2013,
289,O'Day 20,20',7',4',1978,daysailer,fiberglass  monohull,"Destin, Florida","$4,500",21-Apr-2013,1 gas outboard
309,Bruce Askew Steel Pilothouse Expedition world cruiser,58',16',3 -10',1999,cruiser,steel  monohull,"Kota Kinabalu Malaysia, Outside United States","$750,000",21-Apr-2013,1 diesel inboard
329,Hunter 1989,30',,,1989,cruiser,fiberglass  monohull,"Trenton, Outside United States","$33,750",20-Apr-2013,1 gas inboard
349,hobie 16 ft cat,16',,,1975,daysailer,fiberglass  catamaran,"long beach, California",$700,20-Apr-2013,0 other inboard
369,C&C 33mk1,33',10'6',5',1981,cruiser,fiberglass  monohull,"West palm beach, Florida","$25,000",20-Apr-2013,1 diesel inboard
389,Pearson 30,30',9.6',5.2',1976,cruiser,fiberglass  monohull,,"$12,900",19-Apr-2013,1 gas inboard
407,C&C 27,27',9',4.9',1975,,fiberglass  monohull,"Kittery, Maine","$12,950",19-Apr-2013,1 gas inboard
425,Clark San Juan 28,28',,,1979,,fiberglass  monohull,"Everett, Washington","$7,200",19-Apr-2013,1 diesel inboard
443,Catalina 25,25',8',4.5',1984,cruiser,fiberglass  monohull,"Glen Cove, New York","$5,000",19-Apr-2013,1 gas outboard
463,Marlow Hunter Marlow Hunter 27,27',9.11',3.6',2013,daysailer,fiberglass  monohull,"Legend Yacht Sales 7366 Edgewood Rd Annapolis, Maryland","$89,794",19-Apr-2013,1 diesel inboard
483,Hunter Hunter 36,36',12',6.5',2009,cruiser,fiberglass  monohull,"Legend Yacht Sales 7366 Edgewood Rd Annapolis, Maryland","$155,000",19-Apr-2013,1 diesel inboard
503,Hunter Hunter 33,33',11.5',4.5',2006,cruiser,fiberglass  monohull,"Legend Yacht Sales 7366 Edgewood Rd Annapolis, Maryland","$85,000",19-Apr-2013,1 diesel inboard
523,Marlow Hunter Hunter 33,33',11.6',5.6',2013,cruiser,fiberglass  monohull,"Legend Yacht Sales 7366 Edgewood Rd Annapolis, Maryland","$147,990",19-Apr-2013,1 diesel inboard
543,Irwin Sloop,28.33',8',2.7',1971,cruiser,fiberglass  monohull,"Lower Florida Keys, Florida","$6,500",18-Apr-2013,1 gas inboard
563,watkins sea wolf,32'6',10'2',4'0',1982,cruiser,fiberglass  monohull,"Oconto, Wisconsin","$24,800",18-Apr-2013,1 diesel inboard
597,Watkins ,27',10'4',3'9',1979,daysailer,fiberglass  monohull,"Key Largo, Florida","$12,500",17-Apr-2013,2 diesel inboard
617,Honner Drascombe,18.5',,,,daysailer,fiberglass  monohull,"Boynton Bch, Florida","$3,000",17-Apr-2013,0 gas inboard
635,Pearson 303,30' 3',10.9'',"4.5""'",1983,cruiser,fiberglass  monohull,"Marblehead, Massachusetts","$22,000",16-Apr-2013,1 diesel inboard
655,Griffin Classic Boats Christmas Cove Hodgdon  21,21',5'9',3'5',2008,daysailer,composite  monohull,"Geelong Australia, Outside United States","$19,000",16-Apr-2013,0 gas inboard
675,Gerard Star,22',4',3',1981,racercruiser,fiberglass  monohull,,"$2,500",16-Apr-2013,
691,Beneteau oceanis44cc,44',13',6',1997,cruiser,fiberglass  monohull,"CROATIAISTRIEN, ","$110,000",16-Apr-2013,1 diesel inboard
711,Fiskars of Finland Finnsailer,35',10.6'',3'8',1972,motorsailer,fiberglass  monohull,"Sarnia Ont lake Huron, Outside United States","$48,000",15-Apr-2013,1 diesel inboard
731,Hunter 40.5,41',13.4',6.3',1995,cruiser,fiberglass  monohull,"North East, Maryland","$82,000",15-Apr-2013, diesel inboard
751,Able Shipyard Able 20,20',7.3',2.5',1978,cruiser,fiberglass  monohull,"Hartford area, Connecticut","$5,000",14-Apr-2013,1 gas outboard
771,O'Day 272,27',9',2'11',1986,cruiser,fiberglass  monohull,"Hingham, Massachusetts","$8,000",14-Apr-2013,1 gas outboard
791,Hunter 41,40',13',5',,cruiser,fiberglass  monohull,"Orlando, Florida","$120,000",13-Apr-2013,1 diesel inboard
809,Pearson 32,32',10'6',5'6',1979,cruiser,fiberglass  monohull,"San Diego, California","$24,500",13-Apr-2013,1 diesel inboard
829,MacGreggor 26X,26',7'10',9',2003,cruiser,fiberglass  monohull,"Eureka, California","$18,000",11-Apr-2013,1 gas outboard
849,Hunter 26.5,26.5',9',3' 6',1988,,fiberglass  monohull,"Clarks Hill Lake    Strom Thurmond, Georgia","$11,900",11-Apr-2013,1 gas outboard
867,ALOHA 8.5,28',9.5',4.4',1983,motorsailer,fiberglass  monohull,"Ivy Lea Ontario, Outside United States","$14,500",11-Apr-2013,1 diesel inboard
887,wegu rubin,23',7.35',"34""'",1978,racercruiser,fiberglass  monohull,"yacht club ottawa ontario canada, Outside United States","$4,500",11-Apr-2013,1 gas outboard
907,Pearson ,30',,,1976,motorsailer,fiberglass  monohull,"Newport Beach, California","$13,950",10-Apr-2013,1 gas inboard
927,Flying Scot ,19',,,2003,cruiser,fiberglass  monohull,"Northfield, New Jersey","$6,900",09-Apr-2013,
945,Catalina 27,27',8.5',4',1980,cruiser,fiberglass  monohull,"Norwalk, Connecticut","$5,000",09-Apr-2013, diesel inboard
965,MacgreggorVenture ,22',8',2',1970,daysailer,fiberglass  monohull,"Port Jefferson, New York","$2,000",08-Apr-2013,1 gas outboard
985,Catalina ,27',,4',1982,cruiser,fiberglass  monohull,"In Nassau very soon in Miami, Florida","$9,500",08-Apr-2013,1 gas outboard
1005,Catalina 22,22',,,1982,cruiser,fiberglass  monohull,"virginia beach, Virginia","$4,200",08-Apr-2013, gas outboard
1025,Mirage 33,33',11.5',5.5',1982,,fiberglass  monohull,"Toronto Island Marina, Outside United States","$49,000",07-Apr-2013,1 diesel inboard
1043,Precision 165,16.5',"7' 2""'","1' 9""'",2001,cruiser,fiberglass  monohull,"Rockland County, New York","$6,000",07-Apr-2013,
1061,Catalina 30,30',10',5',1984,cruiser,fiberglass  monohull,"Brooklyn, New York","$17,900",07-Apr-2013,1 diesel inboard
1081,Beneteau 473 Oceanis Comodore Clipper,48',14.6',7',2005,cruiser,fiberglass  monohull,"Singapore, Outside United States","$220,000",07-Apr-2013,1 diesel inboard
1101,Catalina Catalina 30,30',10.8',5.3',1981,cruiser,fiberglass  monohull,"New Bern, North Carolina","$16,900",06-Apr-2013,1 gas inboard
1121,Chrysler C22,22',7.75',3.75',1977,cruiser,fiberglass  monohull,"Topping, Virginia","$2,495",06-Apr-2013,1 gas outboard
1141,Hallberg Rassy HR 38,38',12',6',1979,cruiser,fiberglass  monohull,"exotic Langkawi Malaysia close to phuket Thailand, ","$114,000",06-Apr-2013,1 diesel inboard
1161,Catalina 28 mk11,29'10',10'4',5.16',2006,cruiser,fiberglass  monohull,"San Diego, California","$69,000",05-Apr-2013,1 diesel inboard
1181,C&C 30 ft,30',,,1978,daysailer,fiberglass  monohull,"redwood city, California","$15,000",05-Apr-2013,1 other inboard
1201,Paceship Acadian Yawl,30',8.5',4.3',1970,cruiser,fiberglass  monohull,"Bronte Harbour Oakville Ontario Canada, Outside United States","$12,500",03-Apr-2013,1 gas inboard
1221,Irwin Mark 3,28.5',9.5',4',1973,cruiser,fiberglass  monohull,"Fairhaven, Massachusetts","$4,200",02-Apr-2013,1 gas inboard
1241,Jeanneau 42 DS,42.5',13.6',5.5',2011,cruiser,fiberglass  monohull,"Miami, Florida","$320,000",01-Apr-2013,0 diesel inboard
1261,Hunter H-27,27',,,1979,cruiser,fiberglass  monohull,"New Smyrna Beach, Florida","$16,000",01-Apr-2013,1 diesel inboard
1281,Mirage 27,27',9',4'6',1980,daysailer,fiberglass  monohull,"Plattsburgh, New York","$14,000",01-Apr-2013,1 gas inboard
1301,San Juan 7.7,26',,,1974,racercruiser,fiberglass  monohull,"Lake Lanier Flowery Branch, Georgia","$3,200",31-Mar-2013,
1319,Spirit 65 ,21',7.6',1.8',1980,other,fiberglass  monohull,,"$2,500",30-Mar-2013, gas outboard
1337,Erickson Sloop,39',11'4',5'',1972,motorsailer,fiberglass  monohull,"Fort Lauderdale, Florida","$14,900",29-Mar-2013,1 diesel inboard
1357,catalina yachts ,30',11',4',1980,daysailer,fiberglass  monohull,"bradenton, Florida","$15,000",28-Mar-2013,1 diesel inboard
1377,Performance Cruising Telstar Trimaran,28.5',18',1.5',2006,cruiser,fiberglass  trimaran,"San Diego, California","$59,000",28-Mar-2013,1 gas outboard
1397,O'Day Sloop,25',8',2'10',1975,daysailer,fiberglass  monohull,"Indian Rocks Beach, Florida","$4,600",28-Mar-2013,1 gas outboard
1417,Marine Innovators Sandpiper 32,32',8',2',1978,cruiser,fiberglass  monohull,"Northwest Creek Marina, North Carolina","$11,000",28-Mar-2013,1 gas outboard
1437,J Boats Classic J24,24',,,1979,motorsailer,fiberglass  monohull,"dawsonville, Georgia","$4,700",28-Mar-2013, gas inboard
1457,Hobie Cat Aqua Cat,14',,,1986,daysailer,composite  catamaran,"dawsonville, Georgia",$995,28-Mar-2013,
1475,Hunter Marine hunter 23,23',,,1985,motorsailer,fiberglass  monohull,"dawsonville, Georgia","$3,950",28-Mar-2013,
1493,J boats J 24 Racing Sailboat,24',,,1979,motorsailer,fiberglass  monohull,"dawsonville, Georgia","$3,900",28-Mar-2013,1 gas outboard
1513,buccaneer ,20',,,1977,motorsailer,fiberglass  monohull,"dawsonville, Georgia","$2,950",28-Mar-2013, gas inboard
0,J Boats J-24,24',8.9',4',1982,racer/cruiser,fiberglass  monohull,"Chicago, Illinois","$5,000",30-Jan-2020,1 gas outboard
21,Irwin Citation,31',,,1975,daysailer,fiberglass  monohull,"Lac, New York","$12,000",29-Jan-2020,1 gas inboard
41,Saturna Off Shore,33',10'8',5',1981,cruiser,fiberglass  monohull,"Ladner BC Canada, Outside United States","$47,500",29-Jan-2020,1 diesel inboard
61,Catalina Catalina 27 Tall Rig,27',8',4',1982,cruiser,fiberglass  monohull,"Pompano Beach FL, Florida","$6,900",29-Jan-2020,1 gas inboard
81,beneteau Oceanis 50.5,50',,,2003,motorsailer,fiberglass  monohull,"isla mujeres cancun, Outside United States","$140,000",28-Jan-2020, gas inboard
101,Alerion Express Alerion Express 28,28',8',5.5',1997,daysailer,fiberglass  monohull,"Cartagena COLOMBIA, Outside United States","$41,000",28-Jan-2020,1 other inboard
121,Gulfstar 41 Ketch Center Cockpit,41',126',5',1974,cruiser,fiberglass  monohull,"Fort Myers, Florida","$49,900",27-Jan-2020,1 diesel inboard
141,Pearson P-36,36',11.5',6',1973,cruiser,fiberglass  monohull,"Rockland, Maine","$45,000",27-Jan-2020,1 diesel inboard
161,Ranger 23 TM,23',8',3.8',1976,racer/cruiser,fiberglass  monohull,"Sanford, Florida","$6,000",27-Jan-2020,1 gas outboard
181,Fuji ,40',13',6',1979,cruiser,fiberglass  monohull,,"$70,000",26-Jan-2020,1 diesel inboard
199,One Off Cat Ketch Unstayed,30',11.2',3',1990,cruiser,composite  monohull,"Montreal Canada, Outside United States","$25,000",26-Jan-2020,1 diesel inboard
219,Glastron Spirit 23,23',7.7',2.4',1981,cruiser,fiberglass  monohull,"Chacala, Outside United States","$5,500",26-Jan-2020,1 gas outboard
239,vanguard V15,15',,,2000,dinghy,fiberglass  monohull,"Phoenix, Arizona","$2,200",25-Jan-2020,
257,Fountaine Pajot Helia Owners Version,44',24',4',2016,cruiser,fiberglass  catamaran,"Fort Pierce, Florida","$589,000",24-Jan-2020,2 diesel inboard
295,Hunter 38,38',50',,,motorsailer,fiberglass  monohull,"Vancouver Canada, Outside United States","$115,000",23-Jan-2020,1 diesel inboard
313,Kenner Privateer Ketch,31',8',3.5',1971,cruiser,fiberglass  monohull,"San Diego in one of the most sought after 32 ft slips in area, California","$5,900",23-Jan-2020,1 gas outboard
333,c & c 27,27',,,,cruiser,fiberglass  monohull,"crowleys yacht yard, Illinois","$4,000",23-Jan-2020, gas inboard
351,Renken ,18',,,,cruiser,fiberglass  monohull,"Daytona Beach, Florida",$800,23-Jan-2020,
367,Irwin CC,37',11.5',4.5',1973,cruiser,fiberglass  monohull,"Stockton, Missouri","$19,500",22-Jan-2020,1 diesel inboard
387,Schock Santana 27,27',9',4',1971,daysailer,fiberglass  monohull,"Friday Harbor, Washington","$5,000",21-Jan-2020,1 gas outboard
407,Precision Boat Works P 23,23.9',20.0',8.6',2001,other,fiberglass  monohull,"Palmetto, Florida","$17,000",21-Jan-2020,0 gas inboard
427,J Boats J-92,30',10',5.9',1993,racer/cruiser,fiberglass  monohull,"Milford, Connecticut","$34,000",21-Jan-2020,1 diesel inboard
447,Island packet Shoal draft,31',,"3' 7""'",1988,cruiser,fiberglass  monohull,"Port charlotte, Florida","$40,000",21-Jan-2020,1 diesel inboard
467,Waterhouse Sandpiper 565,18',,,1979,cruiser,fiberglass  monohull,"Mashpee, Massachusetts","$2,100",21-Jan-2020,1 gas outboard
487,G-Cat 5.0 Meter,16',7',1',1982,other,fiberglass  catamaran,"Tampa, Florida","$2,800",20-Jan-2020,
505,Islander 30 Mk. II,30',10',5',1971,cruiser,fiberglass  monohull,"South Beach Marina, California","$12,500",20-Jan-2020,1 diesel inboard
525,Coronado 35' Sloop - Sold,35',11',5.5',1971,cruiser,fiberglass  monohull,"Satellite Beach, Florida","$10,900",18-Jan-2020,1 diesel inboard
545,Gulfstar 40 Ted Hood 1977 Hood custom 40,40',11-7',3-11',1977,racer/cruiser,fiberglass  monohull,"Burr Bros Marion MA, Massachusetts","$90,000",18-Jan-2020,1 diesel inboard
565,Hunter 380,38',12',5',2000,cruiser,fiberglass  monohull,"Midland Ontario Canada Lake Huron, Outside United States","$73,000",18-Jan-2020,1 diesel inboard
585,Walter Simmons Design Vintage Classic Sprit Sail Sloop,16',4'6',2'4',1985,cruiser,wood  monohull,"Sodus, New York","$5,800",17-Jan-2020,
603,Newport 16,15'8',6'3',3'9',1973,cruiser,fiberglass  monohull,"Benicia, California","$3,500",17-Jan-2020,1 gas outboard
623,S2 7.3 Meter,24',8',2'10',1979,cruiser,fiberglass  monohull,"Morton, Illinois","$6,439",16-Jan-2020,1 gas inboard
643,BALI 4.3,43',25.11',3.11',2015,cruiser,fiberglass  catamaran,"Riviera Beach, Florida","$479,000",15-Jan-2020,2 diesel inboard
663,C & C 33,32'11',"10'7""'",5'6',1975,racer/cruiser,fiberglass  monohull,"CITY ISLAND, New York","$9,900",15-Jan-2020,1 diesel inboard
683,Catalina 30 MK II TR WK,30',10'10',3'10',1987,cruiser,fiberglass  monohull,"City Island, New York","$21,500",15-Jan-2020,1 diesel inboard
703,Cal 39 MK II,39',12',56',1978,cruiser,fiberglass  monohull,"Rio Dulce Guatemala, Outside United States","$56,000",15-Jan-2020,1 diesel inboard
723,Morgan 32 ,31 11',,,1981,cruiser,fiberglass  monohull,"Guatemala Rio Dulce, Outside United States","$21,000",15-Jan-2020,1 diesel inboard
743,Morgan Center Cockpit,44',13',5'9',1989,cruiser,fiberglass  monohull,"St John US Virgin Islands, Outside United States","$111,000",14-Jan-2020,1 diesel inboard
763,Pearson 23c,23',8',4',1983,daysailer,fiberglass  monohull,"chicago, Illinois","$4,800",14-Jan-2020,1 gas outboard
783,O'Day 35,35',11.2',5'7',1986,racer/cruiser,fiberglass  monohull,"Northport, New York","$39,000",14-Jan-2020,1 diesel inboard
803,Technologie saint philibert Paul Lucas 38 ft,38',25',4',2005,racer/cruiser,other  trimaran,"Martinique or St Martin, Outside United States","$130,000",14-Jan-2020,1 diesel inboard
823,Oday 22,21.67',7.17',1.3-4',1979,daysailer,fiberglass  monohull,"Kemah, Texas","$6,000",13-Jan-2020,2 gas outboard
843,J boats J33,33',10',6',1988,racer/cruiser,fiberglass  monohull,,"$33,000",11-Jan-2020,1 diesel inboard
861,Hunter 355 Legend,35',11.8',4.5',1994,cruiser,fiberglass  monohull,"Long Beach, California","$44,900",10-Jan-2020,1 diesel inboard
881,Pacific SeaCraft flicka,20',,3',1979,cruiser,fiberglass  monohull,"Santa Barbara, California","$19,500",10-Jan-2020,1 gas outboard
901,Bob Johnson Island Packet IP 320,32',11.9',4.25',1998,cruiser,fiberglass  monohull,"Santa Barbara, California","$110,000",10-Jan-2020,1 diesel inboard
921,Fountaine Pajot Lucia 40,40',22',4',2017,cruiser,fiberglass  catamaran,"Saint Simons Island GA, Georgia","$435,000",10-Jan-2020,2 diesel inboard
941,Canadian Sailcraft CS36T CS36T,36',11'6'',4'11'',1985,cruiser,fiberglass  monohull,"Martinique, Outside United States","$45,000",10-Jan-2020,1 diesel inboard
961,Morgan Catalina Centre-Cockpit,45',13.5',6.5',1997,cruiser,fiberglass  monohull,"Culebra Puerto Rico, Outside United States","$83,500",09-Jan-2020,1 diesel inboard
981,gozzard ,36',12',4',1985,cruiser,fiberglass  monohull,"fort pierce, Florida","$115,000",09-Jan-2020,1 diesel inboard
1001,Vanguard Nomad,17',8',46',1996,daysailer,fiberglass  monohull,"Burlington, North Carolina","$6,500",07-Jan-2020,
1019,Wauquiez HOOD 38,38',11'9',4'6',1985,racer/cruiser,fiberglass  monohull,"Fort Pierce, Florida","$85,000",07-Jan-2020,1 diesel inboard
1039,Spronk Custom 49,49',21',4',1979,cruiser,composite  catamaran,"Oasis Marina St Augustine FL, Florida","$179,000",01-Jul-2022,2 diesel inboard
1060,Hunter 37 Cherubini,37',12',5.5',1980,cruiser,fiberglass  monohull,"Apollo Beach, Florida","$52,000",06-Jan-2020,1 diesel inboard
1080,catalina 380,38',12.3',5.3',1997,racer/cruiser,fiberglass  monohull,"Toronto, Outside United States","$95,000",05-Jan-2020,1 diesel inboard
1100,Beneteau Oceanis 43,43',13.6',6.7',2010,cruiser,fiberglass  monohull,"Belize recently sailed from Rio DulceGuatemala, Outside United States","$150,000",05-Jan-2020,1 diesel inboard
1120,Catana C381,38',22',3 - 6',1998,cruiser,fiberglass  catamaran,"Maryland, Maryland","$240,000",05-Jan-2020,2 diesel inboard
1140, Roberts Spray Ketch,41',15',5',1987,cruiser,fiberglass  monohull,"Opua NZ, Outside United States","$60,000",04-Jan-2020,1 diesel inboard
1160,Antares 44i,44',22',4',2012,cruiser,fiberglass  catamaran,"Fort Pierce, Florida","$729,000",04-Jan-2020,2 diesel inboard
1180,British Admiralty Motorsailer,75',20',9',1944,motorsailer,wood  monohull,"Seattle, Washington","$490,000",03-Jan-2020,1 diesel inboard
1200,Hanse 400,40',13.3',6.7',2012,cruiser,fiberglass  monohull,"Greece, Outside United States","$144,000",03-Jan-2020,1 diesel inboard
1220,Hunter 27,27',9',3.5',1992,cruiser,fiberglass  monohull,"Shorewood, Minnesota","$22,000",03-Jan-2020,1 gas outboard
1240,Hunter 34,34'-9',11'-7',5'-6',1983,cruiser,fiberglass  monohull,"long Beach CA shoreline, California","$25,500",02-Jan-2020,1 diesel inboard
1260,Tillotson-Pearson J/35,35.5',11.8',6.9',1985,racer/cruiser,fiberglass  monohull,"Traceys Landing near Annapolis, Maryland","$29,900",02-Jan-2020,1 diesel inboard
1280,Allied Princess,36',11',4.5',1972,cruiser,fiberglass  monohull,"St John USVI, Outside United States","$25,000",02-Jan-2020,1 diesel inboard
1300,Hobie Hobie Cat 14,14',7'8',,2006,daysailer,fiberglass  catamaran,"Charlotte, North Carolina","$4,200",01-Jan-2020, gas inboard
1320,Beneteau Oceanis 430,43',13.8',5.4',1990,cruiser,fiberglass  monohull,"Newport, Rhode Island","$84,995",31-Dec-2019,1 diesel inboard
1340,Barnes Boat Works Gazelle,42',11',4.5',1980,cruiser,steel  monohull,"Rome, New York","$32,000",28-Dec-2019,1 diesel inboard
1360,Beneteau Oceanis 523,53',16',8',2007,racer/cruiser,fiberglass  monohull,"BVI until april 2020 Bermuda after april 2020, Outside United States","$249,000",27-Dec-2019,1 diesel inboard
1380,Ericson 30,30',10',6',1981,cruiser,fiberglass  monohull,"North Myrtle Beach, South Carolina","$6,000",27-Dec-2019, diesel inboard
1400,Irwin Citation,30',10-2',5-0',1980,racer/cruiser,fiberglass  monohull,"Victoria BritishColumbia, Outside United States","$14,000",25-Dec-2019, diesel inboard
1420,Hunter Legend,34'-9',11'7',5'-6',1983,cruiser,fiberglass  monohull,"lake Arrowhead, California","$26,000",23-Dec-2019,1 diesel inboard
1440,Ericson Ericson 39,39',12',,1972,cruiser,fiberglass  monohull,"Fort Pierce FL, Florida","$27,500",23-Dec-2019,1 diesel inboard
1460,Dean 365,37',17',2',1985,cruiser,fiberglass  catamaran,"wilmington, North Carolina","$39,000",23-Dec-2019,2 diesel inboard
1480,Goman Express,30',10.6',4.6',1982,cruiser,fiberglass  monohull,"Edmonton, Outside United States","$19,500",22-Dec-2019,1 diesel inboard
1500,Wellcraft Starwind,27',,,1987,cruiser,fiberglass  monohull,,"$5,750",21-Dec-2019,1 diesel inboard
1518,Bristol 29,29',9',4.5',1968,cruiser,fiberglass  monohull,"Saint Augustine, Florida","$12,500",20-Dec-2019,1 diesel inboard
